stateabb,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AAB,,,,,,,,,,,2.46E-06,5.30E-06,2.88E-06,2.86E-06,2.82E-06,2.79E-06,2.74E-06,2.69E-06,2.67E-06,2.93E-06,2.59E-06,2.59E-06,2.58E-06,2.74E-06,2.75E-06,2.94E-06,2.71E-06,2.90E-06,2.88E-06,2.88E-06,3.12E-06,3.15E-06,3.06E-06,2.99E-06,3.18E-06,3.12E-06,3.07E-06,3.24E-06,3.37E-06,3.21E-06,5.48E-06,5.39E-06,6.00E-06,6.24E-06,6.48E-06,6.72E-06,6.96E-06,7.20E-06,7.44E-06
AFG,0.0014013,0.0014494,0.0014554,0.0013688,0.0016969,0.0017865,0.0018156,0.0015876,0.0014462,0.0011965,0.0012083,0.0012514,0.0011683,0.0011246,0.0011374,0.0012538,0.0012557,0.0012806,0.0012824,0.0011824,0.0013116,0.0013728,0.0014201,0.0014709,0.0011634,0.0011902,0.0012208,0.0011991,0.0040874,0.0040985,0.0012151,0.00158,0.0017063,0.0015749,0.0012113,0.0012298,0.0014456,0.0014628,0.0014941,0.0018365,0.0024066,0.0027339,0.001775392,0.001765334,0.001755276,0.001745218,0.001735159,0.001725101,0.001715043
ALB,0.0006401,0.0006421,0.0006317,0.0006057,0.0006029,0.0006052,0.0005626,0.0005572,0.0005632,0.0006006,0.0005695,0.000564,0.0005554,0.0005342,0.0005351,0.0005357,0.0005299,0.0005083,0.0005057,0.0005321,0.000453,0.0006135,0.0006413,0.0006439,0.000556,0.0005686,0.0005676,0.0003149,0.0003038,0.0005701,0.0003858,0.0003992,0.0003553,0.0003561,0.0003607,0.0003641,0.0002822,0.0002812,0.0002999,0.0002955,0.0003111,0.0003094,0.000245931,0.000230837,0.000215744,0.000200651,0.000185557,0.000170464,0.00015537
ALG,0.0019072,0.0019503,0.0020343,0.0020741,0.0021331,0.0022284,0.002199,0.0025192,0.002502,0.0029125,0.0028747,0.0032125,0.0033977,0.0038547,0.0038691,0.0040105,0.0040661,0.0037382,0.0036449,0.0036303,0.0037319,0.0040212,0.0038948,0.0039065,0.0039396,0.0039661,0.0039644,0.0043831,0.004327,0.0042546,0.0043252,0.0038568,0.0036894,0.003658,0.00385,0.0037821,0.0039187,0.0039551,0.0039595,0.0039455,0.0042579,0.004188,0.004014365,0.004020365,0.004026364,0.004032364,0.004038363,0.004044363,0.004050362
AND,,,,,,,,,,,,,,,,,,,,,,,2.31E-06,1.95E-06,2.50E-06,2.55E-06,2.63E-06,2.57E-06,2.66E-06,2.73E-06,2.41E-06,2.55E-06,2.63E-06,2.69E-06,2.72E-06,2.72E-06,2.68E-06,2.63E-06,2.58E-06,2.50E-06,2.43E-06,2.39E-06,-1.43E-06,-1.75E-06,-2.07E-06,-2.39E-06,-2.71E-06,-3.03E-06,-3.35E-06
ANG,,,,,0.0007264,0.0008335,0.0009423,0.0009423,0.000951,0.0009789,0.0010058,0.0010175,0.0009753,0.0010628,0.0011344,0.0011699,0.0011503,0.001336,0.0018198,0.001839,0.0016695,0.0018103,0.0017692,0.0015878,0.0014746,0.0014602,0.0015193,0.0016371,0.0016497,0.0019126,0.0020319,0.0018769,0.0019972,0.0019595,0.0020119,0.0020968,0.0021886,0.0021208,0.0022571,0.002309,0.0023175,0.0024164,0.002401946,0.002442925,0.002483904,0.002524884,0.002565863,0.002606842,0.002647821
ARG,0.0061449,0.0060026,0.0060082,0.0059684,0.0058829,0.0058499,0.0061343,0.0061692,0.0065483,0.0065317,0.0065189,0.0068102,0.0063545,0.0061097,0.0057769,0.0054862,0.0056297,0.0054717,0.0055138,0.0052983,0.0056911,0.0056696,0.0055883,0.0057977,0.0058109,0.0060239,0.0060907,0.006269,0.0061934,0.0060208,0.0058242,0.0058882,0.006024,0.0059424,0.0058913,0.0058479,0.005751,0.0057503,0.0056068,0.0056218,0.0056944,0.0056534,0.005589919,0.005558627,0.005527336,0.005496044,0.005464752,0.00543346,0.005402169
ARM,,,,,,,,,,,,,,,,,,,,,0.0004791,0.0004889,0.0004907,0.000754,0.0007623,0.0007744,0.0007735,0.0007036,0.0006818,0.0007057,0.0006987,0.0007098,0.0006985,0.0007187,0.0006268,0.0006324,0.0006137,0.0006002,0.0005833,0.0006142,0.0006361,0.0006372,0.000586481,0.000577129,0.000567776,0.000558424,0.000549072,0.00053972,0.000530368
AUH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUL,0.0075723,0.0073113,0.0073532,0.0074535,0.0076314,0.0075292,0.0073455,0.0072582,0.0071011,0.0073886,0.0075,0.0074357,0.0070852,0.0065965,0.007018,0.0070473,0.0068841,0.0069168,0.0073055,0.0072149,0.0073715,0.0076754,0.0079306,0.0078339,0.0079414,0.0079708,0.0079933,0.0079591,0.0076716,0.0071289,0.0069085,0.0075163,0.007533,0.0074114,0.0075398,0.0074866,0.0075813,0.0074601,0.0068635,0.0072806,0.0071844,0.0072981,0.007306435,0.00730414,0.007301845,0.007299549,0.007297254,0.007294959,0.007292664
