Code,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.46E-06,5.30E-06,2.88E-06,2.86E-06,2.82E-06,2.79E-06,2.74E-06,2.69E-06,2.67E-06,2.93E-06,2.59E-06,2.59E-06,2.58E-06,2.74E-06,2.75E-06,2.94E-06,2.71E-06,2.90E-06,2.88E-06,2.88E-06,3.12E-06,3.15E-06,3.06E-06,2.99E-06,3.18E-06,3.12E-06,3.07E-06,3.24E-06,3.37E-06,3.21E-06,5.48E-06,5.39E-06,6.00E-06,6.24E-06,6.48E-06,6.72E-06,6.96E-06,7.20E-06,7.44E-06
AFG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002546,0.0019737,0.001971,0.0021718,0.0026945,0.0031195,0.0035203,0.0035234,0.0035637,0.0030185,0.0030385,0.0030359,0.0026446,0.0026374,0.0032468,0.0023447,0.0023612,0.0029874,0.0034712,0.0031082,0.0029508,0.001713,0.0019521,0.0018166,0.0017597,0.0016625,0.0015724,0.0025014,0.002474,0.0023342,0.0019794,0.0016056,0.0014054,0.0013305,0.0011815,0.0011561,0.0011547,0.0011591,0.001169,0.0011763,0.0012464,0.0013066,0.0017574,0.0016605,0.0016639,0.001644,0.0015451,0.0014699,0.0014258,0.0013737,0.0013632,0.0013822,0.0014013,0.0014494,0.0014554,0.0013688,0.0016969,0.0017865,0.0018156,0.0015876,0.0014462,0.0011965,0.0012083,0.0012514,0.0011683,0.0011246,0.0011374,0.0012538,0.0012557,0.0012806,0.0012824,0.0011824,0.0013116,0.0013728,0.0014201,0.0014709,0.0011634,0.0011902,0.0012208,0.0011991,0.0040874,0.0040985,0.0012151,0.00158,0.0017063,0.0015749,0.0012113,0.0012298,0.0014456,0.0014628,0.0014941,0.0018365,0.0024066,0.0027339,0.001775392,0.001765334,0.001755276,0.001745218,0.001735159,0.001725101,0.001715043
ALB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001837,0.000124,0.0001236,0.0001212,0.0001265,0.0001625,0.000204,0.0001934,0.0002404,0.0003222,0.0003746,0.0003666,0.0003646,0.0003693,0.0004568,0.0004971,0.000488,0.0004948,0.0005657,0.0005218,0.0004812,0.0003241,0.0003341,0.0003312,0.0003392,0.0002976,,,,,0.0003696,0.0003373,0.0007929,0.0008438,0.0008609,0.0008375,0.0007516,0.0006305,0.0006292,0.0005644,0.0005296,0.0005177,0.0005203,0.0005115,0.0004987,0.000471,0.0004933,0.0007053,0.0006796,0.0006806,0.0006794,0.0006944,0.0006579,0.0006402,0.000628,0.0006205,0.0006281,0.0006401,0.0006421,0.0006317,0.0006057,0.0006029,0.0006052,0.0005626,0.0005572,0.0005632,0.0006006,0.0005695,0.000564,0.0005554,0.0005342,0.0005351,0.0005357,0.0005299,0.0005083,0.0005057,0.0005321,0.000453,0.0006135,0.0006413,0.0006439,0.000556,0.0005686,0.0005676,0.0003149,0.0003038,0.0005701,0.0003858,0.0003992,0.0003553,0.0003561,0.0003607,0.0003641,0.0002822,0.0002812,0.0002999,0.0002955,0.0003111,0.0003094,0.000245931,0.000230837,0.000215744,0.000200651,0.000185557,0.000170464,0.00015537
DZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001473,0.0016852,0.0017614,0.0017894,0.0018812,0.0018977,0.0018951,0.0019568,0.0018775,0.0019072,0.0019503,0.0020343,0.0020741,0.0021331,0.0022284,0.002199,0.0025192,0.002502,0.0029125,0.0028747,0.0032125,0.0033977,0.0038547,0.0038691,0.0040105,0.0040661,0.0037382,0.0036449,0.0036303,0.0037319,0.0040212,0.0038948,0.0039065,0.0039396,0.0039661,0.0039644,0.0043831,0.004327,0.0042546,0.0043252,0.0038568,0.0036894,0.003658,0.00385,0.0037821,0.0039187,0.0039551,0.0039595,0.0039455,0.0042579,0.004188,0.004014365,0.004020365,0.004026364,0.004032364,0.004038363,0.004044363,0.004050362
AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.31E-06,1.95E-06,2.50E-06,2.55E-06,2.63E-06,2.57E-06,2.66E-06,2.73E-06,2.41E-06,2.55E-06,2.63E-06,2.69E-06,2.72E-06,2.72E-06,2.68E-06,2.63E-06,2.58E-06,2.50E-06,2.43E-06,2.39E-06,-1.43E-06,-1.75E-06,-2.07E-06,-2.39E-06,-2.71E-06,-3.03E-06,-3.35E-06
AGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0007264,0.0008335,0.0009423,0.0009423,0.000951,0.0009789,0.0010058,0.0010175,0.0009753,0.0010628,0.0011344,0.0011699,0.0011503,0.001336,0.0018198,0.001839,0.0016695,0.0018103,0.0017692,0.0015878,0.0014746,0.0014602,0.0015193,0.0016371,0.0016497,0.0019126,0.0020319,0.0018769,0.0019972,0.0019595,0.0020119,0.0020968,0.0021886,0.0021208,0.0022571,0.002309,0.0023175,0.0024164,0.002401946,0.002442925,0.002483904,0.002524884,0.002565863,0.002606842,0.002647821
ARG,,,,,,,,,,,,,,,,,,,,,,,,,,0.0033369,0.0031591,0.0030013,0.0031099,0.0029713,0.0027282,0.0030052,0.0028589,0.0027303,0.0031368,0.0026585,0.0027388,0.0026165,0.0024463,0.0023502,0.0024458,0.0024761,0.0026184,0.0026541,0.0020699,0.0020664,0.0021622,0.0023729,0.0023464,0.002737,0.0026791,0.0025382,0.0029384,0.0031576,0.0029051,0.0020759,0.002065,0.0021499,0.0021266,0.0021031,0.0022106,0.0022153,0.0029395,0.0030104,0.0029934,0.0032496,0.0033776,0.003597,0.0037524,0.0039539,0.004027,0.0039658,0.0040795,0.0036458,0.0035456,0.0036631,0.0035526,0.0040826,0.0040921,0.0043,0.0057526,0.0055302,0.0052247,0.0043357,0.0045466,0.0044703,0.0048406,0.0048948,0.0048417,0.0046881,0.0051276,0.005469,0.0052468,0.0057677,0.0059828,0.0060352,0.0063464,0.0060419,0.005007,0.0043979,0.0042713,0.0043891,0.0044702,0.0058803,0.0055597,0.0058806,0.0060495,0.0070244,0.0076248,0.0076569,0.0082993,0.0077393,0.0073599,0.0073053,0.0075456,0.0074675,0.0076808,0.0078218,0.0073078,0.0069791,0.0072561,0.007513,0.0070845,0.0067641,0.0071154,0.0074865,0.0076582,0.0077743,0.0078393,0.0079482,0.0085098,0.0082282,0.0082709,0.0084501,0.0080032,0.0075661,0.0072042,0.0073377,0.0074129,0.0073768,0.0071589,0.0073708,0.0070229,0.0069331,0.0067581,0.0068013,0.0068319,0.0068134,0.0068578,0.006999,0.0068939,0.006574,0.0064259,0.0064217,0.0062268,0.0061449,0.0060026,0.0060082,0.0059684,0.0058829,0.0058499,0.0061343,0.0061692,0.0065483,0.0065317,0.0065189,0.0068102,0.0063545,0.0061097,0.0057769,0.0054862,0.0056297,0.0054717,0.0055138,0.0052983,0.0056911,0.0056696,0.0055883,0.0057977,0.0058109,0.0060239,0.0060907,0.006269,0.0061934,0.0060208,0.0058242,0.0058882,0.006024,0.0059424,0.0058913,0.0058479,0.005751,0.0057503,0.0056068,0.0056218,0.0056944,0.0056534,0.005589919,0.005558627,0.005527336,0.005496044,0.005464752,0.00543346,0.005402169
ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0004791,0.0004889,0.0004907,0.000754,0.0007623,0.0007744,0.0007735,0.0007036,0.0006818,0.0007057,0.0006987,0.0007098,0.0006985,0.0007187,0.0006268,0.0006324,0.0006137,0.0006002,0.0005833,0.0006142,0.0006361,0.0006372,0.000586481,0.000577129,0.000567776,0.000558424,0.000549072,0.00053972,0.000530368
AUT,0.0860522,0.093779,0.0908299,0.0930578,0.0931703,0.0985494,0.0960732,0.092077,0.0898539,0.0879094,0.0901776,0.0872459,0.0873732,0.0860521,0.0794361,0.0847439,0.0835487,0.0827864,0.0860309,0.0841547,0.0800064,0.0819658,0.0826758,0.0820385,0.0723354,0.0767224,0.080164,0.0828047,0.0783968,0.073204,0.0702033,0.0714462,0.0760322,0.0897646,0.0837153,0.0874458,0.0845288,0.0872489,0.0803422,0.0701292,0.0635674,0.075959,0.079993,0.0822447,0.0495704,0.0393651,0.0408289,0.0405104,0.0397204,0.0438245,0.0572548,0.0417711,0.0429353,0.044334,0.042529,0.0425161,0.046151,0.0476681,0.0474281,0.0469753,0.0440072,0.0416889,0.045859,0.0485899,0.0439186,0.0435403,0.0456671,0.0466863,0.0462667,0.0463696,0.0460961,0.0478686,0.0457058,0.0456188,0.0471161,0.0475797,0.0474195,0.0486326,0.0474405,0.0469974,0.0472,0.0465424,0.0450015,0.0440607,0.042399,0.0419825,0.0417563,0.0418635,0.0421002,0.0382614,0.0410719,0.0419901,0.0468532,0.0444325,0.0436351,0.0417241,0.0436742,0.0447277,0.0682345,0.0624243,0.0432116,0.0400613,0.0318687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0068601,0.0075813,0.0071556,0.0072409,0.0080229,0.0077803,0.0077788,0.0080218,0.0068846,0.006507,0.0062364,0.0059729,0.0062862,0.0064684,0.0064862,0.0064714,0.0065352,0.0066614,0.0071551,0.0067231,0.0074878,0.0111213,0.0107732,0.0119916,0.0109051,0.0104784,0.0105838,0.0092938,0.0083341,0.0074437,0.0068384,0.0068841,0.0067069,0.0069382,0.0072606,0.0067885,0.0068869,0.0070046,0.0072526,0.0070529,0.0069719,0.0070297,0.0070519,0.006986,0.0070667,0.0072816,0.0073445,0.0077712,0.0079754,0.007754,0.0076283,0.0075723,0.0073113,0.0073532,0.0074535,0.0076314,0.0075292,0.0073455,0.0072582,0.0071011,0.0073886,0.0075,0.0074357,0.0070852,0.0065965,0.007018,0.0070473,0.0068841,0.0069168,0.0073055,0.0072149,0.0073715,0.0076754,0.0079306,0.0078339,0.0079414,0.0079708,0.0079933,0.0079591,0.0076716,0.0071289,0.0069085,0.0075163,0.007533,0.0074114,0.0075398,0.0074866,0.0075813,0.0074601,0.0068635,0.0072806,0.0071844,0.0072981,0.007306435,0.00730414,0.007301845,0.007299549,0.007297254,0.007294959,0.007292664
