,pedmort_2016,pedmort_53mean,pedmort_3mean,Code,sanit_2015,sanit_21mean,sanit_3mean,Country or region,Outcome,democ_2018,latitude,within_tropics
0,6.79,20.64166667,7.316666667000001,AFG,31.9,24.26666667,31.13333333,Afghanistan,0,0.0,33.93911,0
1,0.88,3.666388889,0.94,ALB,93.2,84.00909091,92.66666667,Albania,0,1.0,41.153332,0
2,1.04,3.361333333,1.143333333,ARG,96.4,91.47727273,95.8,Argentina,1,1.0,-38.416097,1
3,1.26,4.465526316,1.4,ARM,89.5,89.435,89.5,Armenia,0,1.0,40.069099,0
4,0.35,1.239444444,0.38333333299999994,AUS,100.0,100.0,100.0,Australia,1,1.0,-25.274398,1
5,0.36,1.574814815,0.37,AUT,100.0,100.0,100.0,Austria,1,1.0,47.516231,0
6,2.3,7.55625,2.646666667,AZE,89.3,70.56111111,86.3,Azerbaijan,0,0.0,40.143105,0
7,3.24,15.40537037,3.643333333,BGD,60.6,45.84545455,58.66666667,Bangladesh,0,0.0,23.684994,1
8,0.37,1.300588235,0.41,BLR,94.3,94.8,94.36666667,Belarus,0,0.0,53.709807,0
9,0.38,1.391296296,0.4,BEL,99.5,99.5,99.5,Belgium,1,1.0,50.503887,0
10,9.83,19.758703699999998,10.36333333,BEN,19.7,12.23181818,19.0,Benin,0,1.0,9.30769,1
11,3.49,14.76148148,3.753333333,BOL,50.3,38.11818182,49.3,Bolivia,1,1.0,-16.290154,1
12,0.57,1.349,0.6033333329999999,BIH,94.8,94.89444444,94.8,Bosnia and Herzegovina,0,0.0,43.915886,0
13,3.76,8.566666667,4.07,BWA,63.4,51.53636364,63.0,Botswana,0,1.0,-22.328474,1
14,1.48,7.986851852000001,1.6066666669999998,BRA,82.8,74.46818182,82.13333333,Brazil,1,1.0,-14.235004,1
15,0.75,2.191372549,0.833333333,BGR,86.0,85.65909091,86.0,Bulgaria,0,1.0,42.733883,0
16,8.12,22.65962963,8.85,BFA,19.7,12.19090909,19.0,Burkina Faso,0,1.0,12.238333,1
17,2.92,11.92589744,3.206666667,KHM,42.4,17.48636364,39.0,Cambodia,0,0.0,12.565679,1
18,8.4,17.1437037,9.023333333,CMR,45.8,42.35454545,45.4,Cameroon,0,0.0,7.369722,1
19,0.51,1.312037037,0.53,CAN,99.8,99.8,99.8,Canada,1,1.0,56.130366,0
20,12.15,19.21944444,13.0,CAF,21.8,17.45909091,21.6,Central African Republic,0,1.0,6.611111,1
21,12.32,20.34190476,13.08,TCD,12.1,9.813636364,12.0,Chad,0,0.0,15.454166,1
22,0.74,4.33537037,0.79,CHL,99.1,91.81363636,98.93333333,Chile,1,1.0,-35.675146999999996,1
23,0.93,5.206888889,1.08,CHN,76.5,59.59090909,74.23333333,China,0,0.0,35.86166,0
24,1.47,5.582222222,1.57,COL,81.1,74.70454545,80.63333333,Colombia,1,1.0,4.570868,1
25,0.9,2.9232653060000002,0.936666667,CRI,94.5,91.48181818,94.43333333,Costa Rica,1,1.0,9.748917,1
