,pedmort_2016,pedmort_53mean,pedmort_3mean,Code,sanit_2015,sanit_21mean,sanit_3mean,maln_12mean,maln_3mean,maln_2016,nat_dis2017,nat_dis_23mean,nat_dis_3mean,homoc_2017,homoc_3mean,homoc_23mean,Country or region,Outcome,sanit_25roc,homoc_27roc,maln_16roc,nat_dis_17roc,gdp_2017
0,6.79,20.64166667,7.316666667000001,AFG,31.9,24.26666667,31.13333333,32.11538462,27.46666667,30.3,0.068638743,0.22038866199999999,0.116639824,10.67307599,12.02989835,13.54551222,Afghanistan,0,0.45599999999999996,0.19343131925925933,1.5187499999999998,0.14426842335294118,1803.987487
1,0.88,3.666388889,0.94,ALB,93.2,84.00909091,92.66666667,8.761538462,5.566666667000001,5.5,0.004623365,0.007723148000000001,0.004757824,2.488883494,2.50594952,5.820425711,Albania,0,0.6040000000000003,0.3491706105185185,0.3375,0.003789434764705882,11803.43059
2,1.04,3.361333333,1.143333333,ARG,96.4,91.47727273,95.8,4.315384615,3.5,3.8,0.00030136,0.005617387,0.002868905,6.175149041,6.342786615,5.880806089,Argentina,1,0.36,0.05233946507407411,0.11875,0.0010598200588235295,18933.90715
3,1.26,4.465526316,1.4,ARM,89.5,89.435,89.5,10.79230769,4.4,4.3,0.0,0.002240959,0.0,3.691190976,3.739062587,4.703890764,Armenia,0,0.011999999999999886,0.13279978544444443,1.21875,0.0009444678235294118,8787.579940000001
4,0.35,1.239444444,0.38333333299999994,AUS,100.0,100.0,100.0,2.5,2.5,2.5,0.007034475,0.006973841999999999,0.003953456,1.3674117590000001,1.36632573,1.67719955,Australia,1,0.0,0.029363835777777788,0.0,0.0017913019411764707,44648.709910000005
5,0.36,1.574814815,0.37,AUT,100.0,100.0,100.0,2.5,2.5,2.5,0.0,0.015212898999999998,0.013703146000000001,0.781109554,0.821320444,1.0353593220000001,Austria,1,0.0,0.024368586666666667,0.0,0.004015201823529412,45436.68582
6,2.3,7.55625,2.646666667,AZE,89.3,70.56111111,86.3,7.730769231,2.5,2.5,0.0,0.00451153,0.0,3.6582288139999997,3.692061405,6.9180576579999995,Azerbaijan,0,1.0759999999999998,0.4268638344074074,1.28125,0.004097068941176471,15847.41883
7,3.24,15.40537037,3.643333333,BGD,60.6,45.84545455,58.66666667,17.33846154,16.36666667,15.2,0.018405907,0.529686813,0.015913423,1.5691046780000002,1.619639094,2.289407558,Bangladesh,0,1.048,0.04343974851851851,0.3500000000000001,0.6565127058235295,3523.983851
8,0.37,1.300588235,0.41,BLR,94.3,94.8,94.36666667,2.7769230769999997,2.5,2.5,0.0,0.0012300619999999999,0.000785695,6.8299206120000004,7.044985142000001,11.56867098,Belarus,0,0.03199999999999989,0.2950782847777778,0.07500000000000001,0.0002555415882352941,17167.967259999998
9,0.38,1.391296296,0.4,BEL,99.5,99.5,99.5,2.5,2.5,2.5,0.0,0.001632481,0.000617709,1.3392598070000001,1.395402125,1.944448119,Belgium,1,0.0,0.037509854296296295,0.0,0.0009004186470588236,42658.57617
10,9.83,19.758703699999998,10.36333333,BEN,19.7,12.23181818,19.0,15.17692308,9.9,10.4,0.0,0.006753751,0.0,4.992135978,5.2120030680000005,5.585928517,Benin,0,0.5159999999999999,0.03391080792592592,0.81875,0.00338112094117647,2064.236334
11,3.49,14.76148148,3.753333333,BOL,50.3,38.11818182,49.3,28.93076923,20.3,19.8,0.0,0.058894695999999996,0.090600292,5.93121778,6.130053307000001,8.013152796,Bolivia,1,0.8759999999999999,0.17195347740740738,0.8624999999999998,0.015095206352941178,6885.828576999999
12,0.57,1.349,0.6033333329999999,BIH,94.8,94.89444444,94.8,3.284615385,2.5,2.5,0.0,0.0017278170000000002,0.025906841,2.435472575,2.4322172490000002,3.561843642,Bosnia and Herzegovina,0,0.008000000000000113,0.2209124646296296,0.1375,0.0045717955294117645,11713.89478
13,3.76,8.566666667,4.07,BWA,63.4,51.53636364,63.0,31.56153846,25.73333333,28.5,0.0,0.010110238,0.0,7.976065042,8.272175227,6.782292833,Botswana,0,0.9640000000000001,0.3230438235925926,0.6750000000000003,0.009127379000000001,15807.373590000001
14,1.48,7.986851852000001,1.6066666669999998,BRA,82.8,74.46818182,82.13333333,5.238461538,2.5,2.5,0.001037699,0.025935111,0.0073439180000000005,30.13288927,30.506693699999996,30.20205375,Brazil,1,0.6480000000000001,0.24962426000000001,0.5875,0.017911858176470587,14103.451530000002
15,0.75,2.191372549,0.833333333,BGR,86.0,85.65909091,86.0,5.715384615,3.833333333,3.0,0.0,0.0026581609999999996,0.0027757159999999997,2.526974231,2.48101248,3.992941332,Bulgaria,0,0.028000000000000115,0.12045579329629633,0.21875,0.0006812130588235293,18563.30662
16,8.12,22.65962963,8.85,BFA,19.7,12.19090909,19.0,23.63076923,20.43333333,21.3,0.001098282,0.003124649,0.004221188,10.28283988,10.38633362,10.81699033,Burkina Faso,0,0.48,0.08813769011111106,0.3500000000000001,0.0017371755882352941,1703.101629
