ref_area,ref_area.label,indicator.label,time,obs_value
AFG,Afghanistan,Youth labour force participation rate (%),2008,54.8651
AFG,Afghanistan,Youth labour force participation rate (%),2012,38.7726
AFG,Afghanistan,Youth labour force participation rate (%),2017,39.2646
AGO,Angola,Youth labour force participation rate (%),2004,47.2378
AGO,Angola,Youth labour force participation rate (%),2009,42.3608
AGO,Angola,Youth labour force participation rate (%),2011,57.6341
AGO,Angola,Youth labour force participation rate (%),2010,57.24
AGO,Angola,Youth labour force participation rate (%),2014,36.38
ALB,Albania,Youth labour force participation rate (%),2002,50.16
ALB,Albania,Youth labour force participation rate (%),2007,30.1525
ALB,Albania,Youth labour force participation rate (%),2008,33.0686
ALB,Albania,Youth labour force participation rate (%),2009,34.6289
ALB,Albania,Youth labour force participation rate (%),2010,33.6352
ALB,Albania,Youth labour force participation rate (%),2011,44.1021
ALB,Albania,Youth labour force participation rate (%),2012,36.2139
ALB,Albania,Youth labour force participation rate (%),2013,27.5694
ALB,Albania,Youth labour force participation rate (%),2014,29
ALB,Albania,Youth labour force participation rate (%),2015,31.34958552
ALB,Albania,Youth labour force participation rate (%),2017,31.8
AND,Andorra,Youth labour force participation rate (%),2007,52.85
AND,Andorra,Youth labour force participation rate (%),2008,46.14
AND,Andorra,Youth labour force participation rate (%),2006,58.03
ARE,United Arab Emirates,Youth labour force participation rate (%),2008,44.77
ARE,United Arab Emirates,Youth labour force participation rate (%),2016,51.74
ARE,United Arab Emirates,Youth labour force participation rate (%),2017,52.8469
ARE,United Arab Emirates,Youth labour force participation rate (%),2018,54.6043
ARE,United Arab Emirates,Youth labour force participation rate (%),2005,49.8
ARG,Argentina,Youth labour force participation rate (%),1995,52.26
ARG,Argentina,Youth labour force participation rate (%),2004,47.2736
ARG,Argentina,Youth labour force participation rate (%),2005,45.2602
ARG,Argentina,Youth labour force participation rate (%),2006,45.5044
ARG,Argentina,Youth labour force participation rate (%),2008,42.5518
ARG,Argentina,Youth labour force participation rate (%),2009,42.3864
ARG,Argentina,Youth labour force participation rate (%),2017,38.9556
ARG,Argentina,Youth labour force participation rate (%),2018,39.4061
ARG,Argentina,Youth labour force participation rate (%),2010,40.5199
ARG,Argentina,Youth labour force participation rate (%),2011,39.8848
ARG,Argentina,Youth labour force participation rate (%),2012,41.9975
ARG,Argentina,Youth labour force participation rate (%),2013,41.0734
ARG,Argentina,Youth labour force participation rate (%),2014,38.4467
ARG,Argentina,Youth labour force participation rate (%),1991,48.08
ARG,Argentina,Youth labour force participation rate (%),1990,54.2
ARM,Armenia,Youth labour force participation rate (%),1997,27.25
ARM,Armenia,Youth labour force participation rate (%),2008,33.2585
ARM,Armenia,Youth labour force participation rate (%),2014,37.5741
ARM,Armenia,Youth labour force participation rate (%),2015,39.471
ARM,Armenia,Youth labour force participation rate (%),2016,34.6521
ARM,Armenia,Youth labour force participation rate (%),2017,35.1179
ARM,Armenia,Youth labour force participation rate (%),2007,22.2976
ARM,Armenia,Youth labour force participation rate (%),2009,29.6
ARM,Armenia,Youth labour force participation rate (%),2010,37.2916
ARM,Armenia,Youth labour force participation rate (%),2011,39.3952
ARM,Armenia,Youth labour force participation rate (%),2012,32.6077
ARM,Armenia,Youth labour force participation rate (%),2013,39.6801
ATG,Antigua and Barbuda,Youth labour force participation rate (%),1991,56.72
ATG,Antigua and Barbuda,Youth labour force participation rate (%),2001,51.01
AUS,Australia,Youth labour force participation rate (%),1990,72.1036
AUS,Australia,Youth labour force participation rate (%),1991,69.6568
AUS,Australia,Youth labour force participation rate (%),1992,69.3864
AUS,Australia,Youth labour force participation rate (%),1993,68.7258
AUS,Australia,Youth labour force participation rate (%),1994,70.576
AUS,Australia,Youth labour force participation rate (%),1995,71.6404
AUS,Australia,Youth labour force participation rate (%),1996,71.6635
AUS,Australia,Youth labour force participation rate (%),1997,70.0599
AUS,Australia,Youth labour force participation rate (%),1998,69.8697
AUS,Australia,Youth labour force participation rate (%),1999,69.9245
AUS,Australia,Youth labour force participation rate (%),2000,70.1813
AUS,Australia,Youth labour force participation rate (%),2001,70.6712
AUS,Australia,Youth labour force participation rate (%),2002,69.9757
AUS,Australia,Youth labour force participation rate (%),2003,70.2218
AUS,Australia,Youth labour force participation rate (%),2004,70.1398
AUS,Australia,Youth labour force participation rate (%),2005,70.8102
AUS,Australia,Youth labour force participation rate (%),2006,70.8014
AUS,Australia,Youth labour force participation rate (%),2007,70.7603
AUS,Australia,Youth labour force participation rate (%),2008,70.7475
AUS,Australia,Youth labour force participation rate (%),2009,69.1003
AUS,Australia,Youth labour force participation rate (%),2010,68.4255
AUS,Australia,Youth labour force participation rate (%),2011,68.1392
AUS,Australia,Youth labour force participation rate (%),2012,67.5191
AUS,Australia,Youth labour force participation rate (%),2013,66.8228
AUS,Australia,Youth labour force participation rate (%),2014,66.5627
AUS,Australia,Youth labour force participation rate (%),2015,67.2641
AUS,Australia,Youth labour force participation rate (%),2016,66.7857
AUS,Australia,Youth labour force participation rate (%),2017,66.8944
AUS,Australia,Youth labour force participation rate (%),2018,67.8471
AUT,Austria,Youth labour force participation rate (%),1994,62.252
AUT,Austria,Youth labour force participation rate (%),1995,61.7429
AUT,Austria,Youth labour force participation rate (%),1996,59.6193
AUT,Austria,Youth labour force participation rate (%),1997,58.4123
AUT,Austria,Youth labour force participation rate (%),1998,58.5486
AUT,Austria,Youth labour force participation rate (%),1999,58.3668
AUT,Austria,Youth labour force participation rate (%),2000,56.0749
AUT,Austria,Youth labour force participation rate (%),2001,54.6842
AUT,Austria,Youth labour force participation rate (%),2002,55.7429
AUT,Austria,Youth labour force participation rate (%),2003,54.706
AUT,Austria,Youth labour force participation rate (%),2004,55.6518
AUT,Austria,Youth labour force participation rate (%),2005,58.0023
AUT,Austria,Youth labour force participation rate (%),2006,57.9282
AUT,Austria,Youth labour force participation rate (%),2007,59.4206
AUT,Austria,Youth labour force participation rate (%),2008,59.5161
AUT,Austria,Youth labour force participation rate (%),2009,59.5016
AUT,Austria,Youth labour force participation rate (%),2010,58.276
AUT,Austria,Youth labour force participation rate (%),2011,59.1959
AUT,Austria,Youth labour force participation rate (%),2012,59.2401
AUT,Austria,Youth labour force participation rate (%),2013,58.7749
AUT,Austria,Youth labour force participation rate (%),2014,58.0279
AUT,Austria,Youth labour force participation rate (%),2015,57.4279
AUT,Austria,Youth labour force participation rate (%),2016,57.4664
AUT,Austria,Youth labour force participation rate (%),2017,56.0862
AUT,Austria,Youth labour force participation rate (%),2018,56.6519
AUT,Austria,Youth labour force participation rate (%),1990,63.21
AUT,Austria,Youth labour force participation rate (%),1991,63.61
AUT,Austria,Youth labour force participation rate (%),1992,64.36
AUT,Austria,Youth labour force participation rate (%),1993,61.71
AZE,Azerbaijan,Youth labour force participation rate (%),2007,35.98
AZE,Azerbaijan,Youth labour force participation rate (%),2008,35.66
AZE,Azerbaijan,Youth labour force participation rate (%),1999,51.37
BDI,Burundi,Youth labour force participation rate (%),1998,70.68
BDI,Burundi,Youth labour force participation rate (%),2014,52.9
BDI,Burundi,Youth labour force participation rate (%),1990,81.63
BEL,Belgium,Youth labour force participation rate (%),1990,35.5432
BEL,Belgium,Youth labour force participation rate (%),1991,36.4814
BEL,Belgium,Youth labour force participation rate (%),1992,36.2135
BEL,Belgium,Youth labour force participation rate (%),1993,34.4084
BEL,Belgium,Youth labour force participation rate (%),1994,35.1931
BEL,Belgium,Youth labour force participation rate (%),1995,33.8788
BEL,Belgium,Youth labour force participation rate (%),1996,32.7662
BEL,Belgium,Youth labour force participation rate (%),1997,32.0326
BEL,Belgium,Youth labour force participation rate (%),1998,32.634
BEL,Belgium,Youth labour force participation rate (%),1999,32.8698
BEL,Belgium,Youth labour force participation rate (%),2000,35.7307
BEL,Belgium,Youth labour force participation rate (%),2001,33.6109
BEL,Belgium,Youth labour force participation rate (%),2002,33.8339
BEL,Belgium,Youth labour force participation rate (%),2003,33.5074
BEL,Belgium,Youth labour force participation rate (%),2004,34.0268
BEL,Belgium,Youth labour force participation rate (%),2005,35.0161
BEL,Belgium,Youth labour force participation rate (%),2006,34.6953
BEL,Belgium,Youth labour force participation rate (%),2007,33.8665
BEL,Belgium,Youth labour force participation rate (%),2008,33.4029
BEL,Belgium,Youth labour force participation rate (%),2009,32.4429
BEL,Belgium,Youth labour force participation rate (%),2010,32.5097
BEL,Belgium,Youth labour force participation rate (%),2011,31.9823
BEL,Belgium,Youth labour force participation rate (%),2012,31.479
BEL,Belgium,Youth labour force participation rate (%),2013,30.9887
BEL,Belgium,Youth labour force participation rate (%),2014,30.1949
BEL,Belgium,Youth labour force participation rate (%),2015,30.0024
BEL,Belgium,Youth labour force participation rate (%),2016,28.4582
BEL,Belgium,Youth labour force participation rate (%),2017,28.081
BEL,Belgium,Youth labour force participation rate (%),2018,29.626
BEN,Benin,Youth labour force participation rate (%),2001,45.34
BEN,Benin,Youth labour force participation rate (%),2010,40.58
BEN,Benin,Youth labour force participation rate (%),2011,43.0395
BEN,Benin,Youth labour force participation rate (%),1992,66.26
BEN,Benin,Youth labour force participation rate (%),2002,58.12
BFA,Burkina Faso,Youth labour force participation rate (%),1991,79.01
BFA,Burkina Faso,Youth labour force participation rate (%),2014,51.6438
BFA,Burkina Faso,Youth labour force participation rate (%),2006,65.94
BGD,Bangladesh,Youth labour force participation rate (%),1991,69.22
BGD,Bangladesh,Youth labour force participation rate (%),1996,62.63
BGD,Bangladesh,Youth labour force participation rate (%),2000,61.95
BGD,Bangladesh,Youth labour force participation rate (%),2003,51.61
BGD,Bangladesh,Youth labour force participation rate (%),2006,46.6204
BGD,Bangladesh,Youth labour force participation rate (%),2010,46.467
BGD,Bangladesh,Youth labour force participation rate (%),2013,45.417
BGD,Bangladesh,Youth labour force participation rate (%),2016,38.04
BGD,Bangladesh,Youth labour force participation rate (%),2017,40.4648
BGR,Bulgaria,Youth labour force participation rate (%),2000,30.675
BGR,Bulgaria,Youth labour force participation rate (%),2001,34.6627
BGR,Bulgaria,Youth labour force participation rate (%),2002,31.8369
BGR,Bulgaria,Youth labour force participation rate (%),2003,29.2284
BGR,Bulgaria,Youth labour force participation rate (%),2004,29.5035
BGR,Bulgaria,Youth labour force participation rate (%),2005,27.8686
BGR,Bulgaria,Youth labour force participation rate (%),2006,28.8667
BGR,Bulgaria,Youth labour force participation rate (%),2007,28.8932
BGR,Bulgaria,Youth labour force participation rate (%),2008,30.132
BGR,Bulgaria,Youth labour force participation rate (%),2009,29.5365
BGR,Bulgaria,Youth labour force participation rate (%),2010,31.1597
BGR,Bulgaria,Youth labour force participation rate (%),2011,29.4537
BGR,Bulgaria,Youth labour force participation rate (%),2012,30.4333
BGR,Bulgaria,Youth labour force participation rate (%),2013,29.644
BGR,Bulgaria,Youth labour force participation rate (%),2014,27.2136
