Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
AFG,1489.99929,3370.000153,4343.997795,4097.000207,8959.000461,5508.000168,3254.999587,6722.996878,12065.00989,5104.000044,5429.002257,5727.006858,985.000023,864.0000768,1042.999637,2078.000062,5677.001213,8216.000975,6748.999931,7562.996178,8117.00062,9061.000023,11332.99,11816.97473,17949.99611,23661.95147,28050.86679,1662.000127
AGO,2755.999916,595.0000983,2424.999911,12398.03499,4116.997104,266.9999881,93.000002,2921.997972,14042.92527,7265.968158,3377.998233,3067.001012,599.9999911,81.00000031,49.99999999,11,12.00000007,34,5,28,13.99999996,5,4,4,0,1.000000001,31.00000005,55.99999981
ALB,0,0,1,1.999999874,18.00000016,2.000000051,7.999999405,2025.997193,7.000000204,11.99999997,0.999999856,5.000000167,1.000000003,0,3.999999966,0,0,0,0,0,0,0,0,0,1,0,0,0
AND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARE,0,6.000000134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.000000001,0,0,0
ARG,1,1,32.00000003,0,86.00000025,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARM,227.9999591,251.0000472,935.0012622,288.0000199,45.00000023,11.00000001,4.000000009,4.568629424,2.284314721,10.95018625,2.950186149,6.613671853,1.14215736,3.426472085,3.948993272,1,3.013144756,3.692820654,4.621763787,5.355790782,18.77454038,8.593645984,9,6.00000006,22.00000008,51.00001835,119.9999891,0
ASM,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000000005,1.000000014,2.00000001,1.999999973,1.999999959,0.999999996,0,0,0,0,1.000000008,0,0,0,0
ATG,0,0,0,0,0,0,0.999999857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUS,1.99999998,4.000000015,1.999999995,0,5.999999979,0,2,0,0,0,1.000000014,1.000000008,0,0,0,0,0,0,0,2.000000022,10,11,1.000000008,0,4,3.000000096,0,0
AUT,0,0,0,0,0,5.999999995,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000000001,0,0,0,1.999999786,0,0,0,0
AZE,199.0000198,286.9999921,3949.008188,3038.988162,4650.020776,53.99999987,7.00000005,30,34,18.00000007,13,8.605492095,5.331465261,12.9075527,9.743081338,24,5,12,35.00000023,8,19.99999994,21,16,11,46.00000004,63.00000066,138.0000084,0
BDI,7,394.9999934,122.0000078,5,12764.86357,13082.98732,13870.85296,13777.95628,13095.0321,13324.88946,14136.81268,13679.98615,13231.9297,13262.82259,12763.82239,12910.80761,237.0000044,34.99999954,272.0000109,48.00000386,205.999959,197.9999463,28.00000025,24.99999974,58.0000003,660.000119,365.9999662,236.9999435
BEL,2,1,1.000000001,0,0,0,0,3.999999987,0,0,0,0,0,0,0,1.999999871,0,0,0,0,0,0,1,0,4.000000007,0,70.00000023,0
BEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.999999995,0,3.000000006,13.00000016,12.99999994
BFA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.00000004,0,13.99999997,0,14.00000013,0,0,2.999999999,27.00000002,2.999999999,7.000000018,25.00000023,87.00000059,99.00000143
BGD,157.9999998,164,324.9999974,12,56.00000001,41.00000001,127.0000001,19,5,31.00000001,25,60.99999999,26,10,81.99999999,137.9999999,101,19,22,20,17,9,7.999999999,26,39.99999999,102,151.0000001,118.9999996
BGR,0,0,0,0,1,3,8.999999999,0,0,0,3.999999996,0,1,0,0,0,0,0,0,0,0,0,7.999999998,0,0.999999998,0,0,0
BHR,0,0.999999985,0,0,0,0.999999985,7.999999485,4.999999716,0,0,0,0,0,0,0,0,0,0,0.999999992,0,0,0,4.999999821,3.999999829,8.999999971,5.000000212,0.999999999,10.99999876
BHS,0,0,0,0,0,0,0,0.999999987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BIH,0,27,7718.987653,5812.008934,3143.000158,9757.013205,2,4.999999988,2.000000001,1,1,0,0,0,0,0,0,1,2.000000001,0,1,0,0,0,0,4.000000001,0,0
BLR,0,0,0,0,0,0,0,1,0,0,0,0,10.62993141,9.335517634,0,0,0,7.166986526,11.58921497,10.86777109,7.666861027,26.01864338,0,6.898112409,6.346881862,0,0,0
BLZ,0,2.000000014,0.999999943,0,0,0,0,0,67.00007251,3.99999982,12.99999278,0,0,0,0,3.000000144,0,0,0,0,5.999999979,0,0,0,0,0,0,0
BMU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOL,6.000000019,6.999999976,5.000000012,0,1,0,0,3.999999999,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
BRA,39,26.00000008,240.9998822,61,39.00000024,31.99999971,39.99999999,33.99999995,5.000000036,17.99999981,0,12.00000001,0,0,1,35,14.00000156,4,7,0,0,0.999999936,11.99999997,3.000000228,4.000000005,2.999999998,1.000000002,0
BRB,0,0,2.999999817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRN,0,0,0,0,0,0,0.08083992,0.047922649,0.044406664,0.053516885,0.052194115,0.03204078,0.068133349,0.038563678,0.026793542,0.055150464,0.053544248,0.04514017,0.051524696,0.120484552,0.071970462,0,0,0,0,0,0,0
BTN,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4.000000002,0,4.99999989,0,0,0,0,0,0,0,0,0
BWA,6.999999985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAF,0,3.000000013,4.000000002,4,1.999999988,0,1.999999997,17.18067597,17.18067597,7.000000012,14.00000006,288.0000054,384.9999423,33.00000226,86.36134734,8,195.9999745,313.9999885,120.9999957,260.0000077,306.000012,111.0000027,148.9999993,4044.00422,4063.994692,454.9999893,486.9998868,1879.005967
CAN,0,0,0.999999958,0,0.999999875,2.00000012,0,0,0.999999979,0,0,0,1.000000009,0,1.000000067,0,36.00000003,29.9999998,32.00000028,32.00000035,15.99999997,0,1.000000056,0,7.000000003,0,1,0
CHE,1,0,6.000000032,0,0,1.000000001,1,0,0,0,0,14.00000011,0,0.999999955,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHL,7.999999999,15.99999997,12.00000001,0,0,1,2,0,0,1.000000014,0.999999877,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0
CHN,24.00000002,0,10,0,21,6.000000001,22.99999999,42.00000028,100.000001,305.0000383,200.9999965,524.9999806,101.9657917,1,13.99999998,25.00000006,0,19.99999998,114.0000054,392.9999817,18.99999997,55.99999835,73.89587663,212.6917099,731.1216943,336.0699549,25.99999995,0
CIV,8,0,1,1,7.999999984,44.00000071,5,16.00000011,13.00000001,51.00000041,111.0000007,32.00000044,1323.000204,1050.999823,515.0000834,154.0000128,46.00000021,4,14.00000003,2,49.00000015,1071.999888,27.99999998,21.99999996,28.9999997,15.00000002,17.00000001,24.00000011
CMR,0,36.00000058,6.000000008,0,101.0000006,4.999999988,56,5.999999989,1,1,18.0000002,0,0,0,18.99999996,48.00000043,30.99999975,66.00000005,128.9999975,18.99999993,5.999999998,17.00000007,17.99999998,14.00000005,1124.000014,1582.999888,702.9999604,446.0000253
COD,147.0000033,35,74.99999986,105.9999941,185.9999955,94.99999974,34473.01672,39485.7044,10028.99671,9008.997145,2786.999493,2162.000479,6351.001517,3744.999797,898.0000333,569.999999,458.9999957,963.9999977,3679.998679,9032.999401,1757.000091,639.9999905,2195.999819,2893.999862,1937.999924,1150.000041,1244.000054,2790.999446
COG,0,0,1.999999992,135,29.99999954,2,1.000000004,10414.23301,3784.001125,984.9987997,500.0000098,3,234.999995,43.99999969,8.999999967,15.00000024,0,1.999999988,1,100.0000075,0,1,2,41.99999891,10.99999999,0,60.99999999,24.99999949
COL,1364.999996,1612.999799,2118.999898,257,1426.000183,1463.000062,2007.999646,2044.999659,2047.000097,2208.000097,2154.000125,2419.000184,3200.99997,1265.999957,1603.00001,1649.999963,661.9999959,422.9999933,336.9999976,526.0000066,498.0000003,269.9999995,387.0000072,277.0000023,292.0000015,246.9999988,75.99999981,0
COM,0,0,1.000000002,0,0,0,0,56.00003027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CPV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRI,0,0,0,0,1,0,1.000000001,1.999999995,0,0,0,1.000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUB,0,0,3.000000008,0,2.999999998,0,0,1.999999923,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CYP,0,0,0,0,2.000000019,0,2.999999954,0,0,0.03013269,0.039508629,0,0,0,0,0,0,0,0,1.000000004,0,0,0,0,0,0,0,0
CZE,0,1.999999992,0,0,0,1,1.999999999,1,0,0,0,1.000000022,0,0,0,0,0,0,0,0,0,0,0,1,5.999999985,0,0,0
DEU,2,9.999999996,21,0,2,24.00000052,15.00000043,16.00000076,8.999999268,7.999999988,11.99999994,6.000000105,10.00000001,4.000000112,6.000000036,6.000000007,6.000000098,3.000000025,6.00000006,2.999999998,5.999999896,9.000000021,2.000000099,1,1.00000003,2.999999973,39.00000001,0
DJI,60.99999959,66.99979302,356.9961001,33.00001334,44.99999393,0,0,22.00000115,19.00000176,37.99999159,0,0,1.999999978,0,0,0,0,0,35.00000204,3.999999947,3.000000066,0,0.999999994,0,2.000000012,27.00000197,0,0.999999997
DMA,0,0.999999839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DNK,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.000000183,12.99999982,2.999999057,0,3.000000727,0,0,0,1.999999999,1,0
DOM,2.999999997,1.000000001,0.999999999,0,1.999999999,0,2.999999997,3.000000015,0,0,0,0,0,0,0,0,0.999995034,0,0,0,0,0,0,1.000000028,0,0,0,0
DZA,3.999999995,75.99999971,510.0000125,826,2428.000154,3424.999238,1620.000164,4904.99967,4430.000811,1518.99995,2534.000207,1330.000005,1613.000229,931.9999426,576.9999903,323.9999945,405.9999934,699.0000237,505.0000125,637.0000069,318.0000018,341.0000022,289.0000013,216.0000006,113.999999,114,92.00000004,134.9999963
ECU,2.999999987,0,2.000000001,0,0,14.99999967,7.999999618,0.999999999,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,1,0,0,1,0
EGY,24.99999997,8,62.0000002,108,334.9999944,361.00001,245.9999978,235.9999998,31.00000001,5.999999999,2,3.999999999,23.00000011,0,61.99999986,129.0000001,23.99999994,0,16,11,45.00000003,118.0000019,116.0000003,384.0000077,262.9999996,223.999997,366.9999991,1188.999833
