Code,Year,Conflict (deaths)
AFG,1990,1489.99929
AFG,1991,3370.000153
AFG,1992,4343.997795
AFG,1993,4097.000207
AFG,1994,8959.000461
AFG,1995,5508.000168
AFG,1996,3254.9995870000002
AFG,1997,6722.996878
AFG,1998,12065.009890000001
AFG,1999,5104.000043999999
AFG,2000,5429.002257
AFG,2001,5727.006858
AFG,2002,985.000023
AFG,2003,864.0000767999999
AFG,2004,1042.999637
AFG,2005,2078.000062
AFG,2006,5677.0012130000005
AFG,2007,8216.000975
AFG,2008,6748.999931
AFG,2009,7562.996178
AFG,2010,8117.000620000001
AFG,2011,9061.000023
AFG,2012,11332.99
AFG,2013,11816.97473
AFG,2014,17949.99611
AFG,2015,23661.95147
AFG,2016,28050.866789999996
AFG,2017,1662.000127
ALB,1990,0.0
ALB,1991,0.0
ALB,1992,1.0
ALB,1993,1.999999874
ALB,1994,18.00000016
ALB,1995,2.000000051
ALB,1996,7.999999405
ALB,1997,2025.997193
ALB,1998,7.000000204
ALB,1999,11.99999997
ALB,2000,0.999999856
ALB,2001,5.000000167
ALB,2002,1.000000003
ALB,2003,0.0
ALB,2004,3.9999999660000003
ALB,2005,0.0
ALB,2006,0.0
ALB,2007,0.0
ALB,2008,0.0
ALB,2009,0.0
ALB,2010,0.0
ALB,2011,0.0
ALB,2012,0.0
ALB,2013,0.0
ALB,2014,1.0
ALB,2015,0.0
ALB,2016,0.0
ALB,2017,0.0
DZA,1990,3.999999995
DZA,1991,75.99999971
DZA,1992,510.0000125
DZA,1993,826.0
DZA,1994,2428.000154
DZA,1995,3424.9992380000003
DZA,1996,1620.000164
DZA,1997,4904.99967
DZA,1998,4430.000811
DZA,1999,1518.99995
DZA,2000,2534.000207
DZA,2001,1330.000005
DZA,2002,1613.000229
DZA,2003,931.9999426
DZA,2004,576.9999903
DZA,2005,323.99999449999996
DZA,2006,405.9999934
DZA,2007,699.0000237
DZA,2008,505.0000125
DZA,2009,637.0000069
DZA,2010,318.0000018
DZA,2011,341.0000022
DZA,2012,289.0000013
DZA,2013,216.0000006
DZA,2014,113.999999
DZA,2015,114.0
DZA,2016,92.00000004
