Code,Year,democ
USA,1800,1
USA,1801,1
USA,1802,1
USA,1803,1
USA,1804,1
USA,1805,1
USA,1806,1
USA,1807,1
USA,1808,1
USA,1809,1
USA,1810,1
USA,1811,1
USA,1812,1
USA,1813,1
USA,1814,1
USA,1815,1
USA,1816,1
USA,1817,1
USA,1818,1
USA,1819,1
USA,1820,1
USA,1821,1
USA,1822,1
USA,1823,1
USA,1824,1
USA,1825,1
USA,1826,1
USA,1827,1
USA,1828,1
USA,1829,1
USA,1830,1
USA,1831,1
USA,1832,1
USA,1833,1
USA,1834,1
USA,1835,1
USA,1836,1
USA,1837,1
USA,1838,1
USA,1839,1
USA,1840,1
USA,1841,1
USA,1842,1
USA,1843,1
USA,1844,1
USA,1845,1
USA,1846,1
USA,1847,1
USA,1848,1
USA,1849,1
USA,1850,1
USA,1851,1
USA,1852,1
USA,1853,1
USA,1854,1
USA,1855,1
USA,1856,1
USA,1857,1
USA,1858,1
USA,1859,1
USA,1860,1
USA,1861,1
USA,1862,1
USA,1863,1
USA,1864,1
USA,1865,1
USA,1866,1
USA,1867,1
USA,1868,1
USA,1869,1
USA,1870,1
USA,1871,1
USA,1872,1
USA,1873,1
USA,1874,1
USA,1875,1
USA,1876,1
USA,1877,1
USA,1878,1
USA,1879,1
USA,1880,1
USA,1881,1
USA,1882,1
USA,1883,1
USA,1884,1
USA,1885,1
USA,1886,1
USA,1887,1
USA,1888,1
USA,1889,1
USA,1890,1
USA,1891,1
USA,1892,1
USA,1893,1
USA,1894,1
USA,1895,1
USA,1896,1
USA,1897,1
USA,1898,1
USA,1899,1
USA,1900,1
USA,1901,1
USA,1902,1
USA,1903,1
USA,1904,1
USA,1905,1
USA,1906,1
USA,1907,1
USA,1908,1
USA,1909,1
USA,1910,1
USA,1911,1
USA,1912,1
USA,1913,1
USA,1914,1
USA,1915,1
USA,1916,1
USA,1917,1
USA,1918,1
USA,1919,1
USA,1920,1
USA,1921,1
USA,1922,1
USA,1923,1
USA,1924,1
USA,1925,1
USA,1926,1
USA,1927,1
