Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
AGO,3430.798427,3359.374794,3062.042696,2252.0516079999998,2210.066786,2465.396619,2720.5213289999997,2839.758717,2893.334472,2873.8839239999998,2873.19301,2898.4280949999998,3184.020736,3213.676654,3418.3252909999997,3987.8149359999998,4578.827718,5443.1179329999995,5978.323249,5908.042248,5897.682841,5911.254092,5999.9021060000005,6188.003756,6257.152874,6227.664689,5972.451513,5819.494971
ALB,4722.838166,3345.5040489999997,3123.512503,3444.321792,3753.169904,4278.689663,4697.153233,4214.358153,4623.026401,5280.527867,5668.574777000001,6176.370678,6457.050021,6855.448876,7277.214908,7733.006933,8204.588246,8754.569513,9153.788206000001,9524.649303,9927.181841,10207.7647,10369.82338,10492.806279999999,10701.12079,10970.45224,11356.34133,11803.43059
ARE,110432.465,105171.4096,102615.1703,98224.51647,99529.78072000001,100976.9451,101754.2957,104829.0273,100018.1038,97753.82842,102634.9243,98716.97042,95894.91442999999,97790.1774,98076.53316,91798.25991000001,88086.35738,78830.27664,71314.66882,60769.86102999999,57232.61807999999,58363.67822,59419.08949,61688.3803,63943.185829999995,66569.40341,67705.94932999999,67293.48276
ARG,10815.71512,12015.6271,13266.05286,13861.94618,14481.1082,13893.522659999999,14485.50768,15479.379130000001,15894.55805,15186.1302,14899.87005,14085.575180000002,12412.60599,13361.40004,14410.15052,15518.67851,16592.264890000002,17900.70634,18436.86247,17168.378940000002,18712.06308,19629.35185,19224.8744,19482.1903,18797.54795,19116.907909999998,18584.58,18933.90715
ARM,3742.437371,3335.601899,1976.5292370000002,1845.319707,1992.0194850000003,2173.36283,2336.5165620000002,2441.181834,2639.949318,2744.430205,2924.7473800000002,3224.141275,3669.44339,4206.975118,4673.984726,5356.614424,6110.226191,7010.627056,7558.361648,6532.964231,6702.848006,7022.103943000001,7511.132481999999,7727.929092,7971.117928,8195.93365,8190.239289,8787.579940000001
ATG,16381.01836,16585.67152,16503.1721,16999.17681,17683.75102,16476.333280000003,17097.97588,17543.73153,17887.807569999997,18102.20309,18908.49435,17660.52221,17591.340490000002,18437.508569999998,19282.23008,20289.71087,22606.84091,24408.18152,24111.377080000002,20942.301180000002,19212.72013,18605.31675,19047.200240000002,18823.75445,19573.83412,20154.947490000002,21013.017630000002,21490.94266
AUS,28658.365889999997,28185.7529,27969.06612,28815.46298,29646.41927,30412.07805,31179.30787,32055.385060000004,33174.90765,34443.866180000005,35377.72955,35578.64207,36553.96461,37183.68457,38225.69371,38928.04076,39445.13292,40680.18963,41331.527969999996,41266.86638,41464.040069999995,41894.17305,42754.456289999995,43118.08613,43547.19748,43923.25827,44493.48089,44648.709910000005
AUT,31341.90238,32098.49154,32411.802460000003,32314.970869999997,32964.101610000005,33791.80147,34539.085589999995,35222.25938,36443.70926,37666.41162,38844.40471,39186.337,39638.02687,39816.77412,40652.8107,41282.879989999994,42498.00733,43939.42529,44441.78853,42656.85416,43336.19785,44452.73275,44551.61757,44301.10403,44320.502010000004,44304.96776,44464.350269999995,45436.68582
AZE,8513.310693000001,8323.499345,6345.517,4806.132702,3807.507907,3319.7673489999997,3329.134804,3488.410025,3801.002521,4046.6074670000003,4458.998423,4862.619031,5338.076318,5891.137108,6435.448129,8051.674838,10711.182270000001,13243.21286,14364.994230000002,15393.89329,15950.257459999999,15754.15236,15888.218,16593.18876,16715.105519999997,16698.86365,16001.3234,15847.41883
BDI,1087.488728,1115.73855,1103.299109,1014.6906529999999,959.1738301000001,869.8080338,789.7516667,768.1683907,794.9980703,775.3641076,754.0962802,751.388913,763.177201,730.9029512999999,741.7662517000001,724.1600123,738.0924903,747.6764747000001,759.3399325,760.0617234,763.8319302,771.5094237000001,778.7354836000001,790.7145176,803.1728373999999,748.4152713,721.1765615,702.225313
