Code,Year,gdp_2017,gdp_mean3,gdp_mean5
AFG,2017,1803.987487,1805.23318,1823.772232
ALB,2017,11803.43059,11376.74139,10948.99577
DZA,2017,13913.83936,13853.24774,13576.44304
AGO,2017,5819.494971,6006.537058,6077.444985
ATG,2017,21490.94266,20886.30259,20017.28277
ARG,2017,18933.90715,18878.46502,19023.33462
ARM,2017,8787.57994,8391.25096,8063.98873
AUS,2017,44648.70991,44355.14969,43747.5315
AUT,2017,45436.68582,44735.33462,44563.20458
AZE,2017,15847.41883,16182.53529,16290.68636
BHS,2017,27717.8473,27912.83035,28410.38093
BHR,2017,43290.70452,43620.05038,43056.33829
BGD,2017,3523.983851,3325.301399,3081.883188
BRB,2017,16978.06769,16725.85033,16568.40397
BLR,2017,17167.96726,17056.90533,17375.16243
BEL,2017,42658.57617,42150.14427,41630.9077
BLZ,2017,7824.362459,7957.056331,7950.192661
BEN,2017,2064.236334,2020.332192,1975.446015
BTN,2017,8708.597121,8235.0763,18738.9053
BOL,2017,6885.828577,6708.43472,7695.865359
BIH,2017,11713.89478,11327.97484,6388.960006
BWA,2017,15807.37359,15630.43744,10785.86713
BRA,2017,14103.45153,14294.38807,15436.45837
BRN,2017,71809.25058,72732.73276,14801.70525
BGR,2017,18563.30662,17786.00914,75891.94381
BFA,2017,1703.101629,1647.252738,16904.9669
BDI,2017,702.225313,723.9390486,1601.308486
KHM,2017,3645.069521,3467.04918,757.4066641
CMR,2017,3364.926056,3333.602798,3216.111843
CAN,2017,44017.59091,43468.44212,3219.757867
CPV,2017,6222.554166,6067.651846,42936.39778
CAF,2017,661.2399677,641.8944349,6013.666933
TCD,2017,1768.153411,1904.544405,675.7830346
CHL,2017,22767.03719,22632.67957,1960.039712
CHN,2017,15308.71212,14426.49624,22236.97669
COL,2017,13254.94922,13125.11408,13189.18934
COM,2017,1413.890036,1412.700551,12704.64094
COG,2017,4881.405744,5225.055445,1421.570799
CRI,2017,15524.99456,15152.86786,5300.245605
CIV,2017,3601.005901,3422.527326,14624.05663
HRV,2017,22669.79655,21817.90488,3152.390849
CYP,2017,32415.13223,31431.8754,21067.69943
CZE,2017,32605.90633,31516.73402,30942.01176
COD,2017,808.1332134,808.5336159,30096.11725
DNK,2017,46682.51472,46044.14555,776.5607637
DMA,2017,9673.366962,9922.201482,45348.46257
DOM,2017,14600.86058,14038.99634,9979.099216
ECU,2017,10581.93643,10585.10982,13030.36431
EGY,2017,10550.2065,10323.30594,10607.39825
SLV,2017,7292.457804,7158.73103,10081.05825
GNQ,2017,22604.87329,24799.83382,6970.09799
EST,2017,29481.25181,28380.21674,29051.69255
ETH,2017,1729.926639,1623.775916,27371.54077
FJI,2017,8702.975322,8542.628077,1475.364225
FIN,2017,40585.72103,39728.88356,8204.656501
FRA,2017,38605.6709,38144.89491,39590.90688
GAB,2017,16562.41336,16718.63042,37772.7725
GMB,2017,1561.766843,1561.566669,16582.8866
GEO,2017,9745.078904,9348.992764,1563.333718
DEU,2017,45229.24529,44533.00509,8821.912383
GHA,2017,4227.629844,4045.702785,43816.035
GRC,2017,24574.38248,24318.8084,3907.582931
GRD,2017,13593.87692,13172.96511,24191.40156
GTM,2017,7423.807592,7361.712339,12311.42822
GIN,2017,1998.92572,1883.894205,7189.450319
GNB,2017,1548.674703,1498.001314,1797.047033
GUY,2017,7435.04709,7259.439131,1454.425589
HTI,2017,1653.172504,1652.857162,6966.871363
HND,2017,4541.795257,4422.679636,1637.602946
HKG,2017,56054.91983,54686.5602,4302.294384
HUN,2017,26777.56079,25825.38251,53159.98107
ISL,2017,46482.95829,45054.0072,24556.4438
IND,2017,6426.674406,6093.020622,43009.09403
IDN,2017,11188.74402,10774.27249,5594.228138
IRN,2017,19082.6196,18027.06481,10203.39281
IRQ,2017,15663.98607,15659.64125,17335.76245
IRL,2017,67335.29341,63793.51588,15277.81057
ISR,2017,33132.3203,32615.02706,55120.36834
ITA,2017,35220.08379,34725.79465,31896.68674
JAM,2017,8193.57065,8156.150952,34595.11424
JPN,2017,39002.22332,38389.2362,8093.535239
JOR,2017,8337.489701,8406.048195,37670.20431
KAZ,2017,24055.58832,23675.55482,8593.550721
KEN,2017,2993.028448,2918.519187,23262.12532
KIR,2017,1981.131869,1967.86324,2799.072869
OWID_KOS,2017,9795.833612,9467.562026,1885.286029
KWT,2017,65530.53658,67622.88457,9012.007235
KGZ,2017,3393.473613,3313.645493,70900.59064
LAO,2017,6397.359825,6075.214342,3185.493275
LVA,2017,25063.84555,23941.97316,5595.30446
LBN,2017,13367.56502,13329.38804,22731.63434
LSO,2017,2851.152754,2765.218729,13879.57786
LBR,2017,752.7878395,763.8640351,2703.526864
LBY,2017,17881.50935,15675.72048,781.1344682
LTU,2017,29524.2646,28201.28385,18320.95154
LUX,2017,94277.96536,94429.1721,26675.88846
MAC,2017,104861.8511,101019.3923,92850.73164
MKD,2017,13111.21357,12997.30089,115616.782
MDG,2017,1416.439507,1396.759112,12452.97245
MWI,2017,1095.042089,1089.181772,1382.932413
MYS,2017,26808.16406,25826.22036,1076.639471
MDV,2017,15183.6164,14373.3853,24581.37916
MLI,2017,2014.30587,1968.206257,13769.64798
MLT,2017,36513.32344,35219.61191,1894.740944
MHL,2017,3819.20212,3738.303827,32781.14789
MRT,2017,3597.63253,3590.509048,3707.959492
MUS,2017,20292.74463,19574.77998,3575.833236
MEX,2017,17336.46907,17160.5696,18617.06
FSM,2017,3299.463856,3274.736877,16813.99936
