Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
AFG,12.7912984,14.66632412,13.72192538,13.32621076,14.824390900000001,14.76870241,15.89572161,13.913738,14.49532249,13.81326668,13.76423249,13.70439757,14.92274506,15.38668259,13.97287851,13.48545569,13.310027800000002,12.82677406,12.48584208,12.11104153,12.33079372,11.79616703,11.44593269,11.33242182,11.19007964,12.52458084,12.37503457,10.67307599
AGO,5.584679574,5.588083467000001,5.631152214,5.764013382999999,5.834370903,5.652938337,5.206045994,5.03453539,5.532469432,5.230486167,5.082727633999999,4.939754843999999,4.768879602,4.694429357,4.736223214,4.547194362,4.443176752,4.294539241,4.148367016,4.018228685,3.900436775,3.7776484760000004,3.694127483,3.572517748,3.402958898,3.344811635,3.2032221919999997,3.1548608469999997
ALB,4.861277047,5.7903624229999995,6.382362798,6.958544169,7.44414406,8.589940665,9.858192553,11.4290913,11.76097917,10.606425199999999,8.838265378,7.572219577,6.400689235,5.296898757,4.268578772,3.2294337580000003,2.7967941880000002,2.731990441,2.614555859,2.333372686,2.4706443890000003,2.481275686,2.481095013,2.49308395,2.5110736609999997,2.505371941,2.501402958,2.488883494
AND,1.2121213020000001,1.211867403,1.205397895,1.166228172,1.1313850540000001,1.094113011,1.0622884940000001,1.0275759759999998,0.996052912,0.965016683,0.9369738390000001,0.9114113979999999,0.886299472,0.882452549,0.879169058,0.862948103,0.848367236,0.83413265,0.8188002209999999,0.8032553000000001,0.785974427,0.766292028,0.755515422,0.7402906770000001,0.7282772559999999,0.7115753,0.706263747,0.7023201109999999
ARE,1.431810089,1.365580566,1.316104406,1.279358413,1.2531819579999999,1.2390885520000001,1.218248009,1.205322188,1.228323607,1.244465637,1.2189474009999999,1.1901455429999999,1.2044037,1.212503814,1.21947613,1.254638812,1.212202174,1.23570459,1.259768464,1.2888921999999998,1.268321641,1.2420673979999999,1.23460079,1.225760054,1.221914397,1.2131905490000001,1.2059972140000002,1.201010852
ARG,5.526809397999999,5.482840092999999,5.642773774,5.560064904,5.5995519279999995,5.584183584,5.810923099,5.893064322000001,5.927511441,6.223844869,6.425375475,6.650260199,6.735100792000001,6.226745105,5.533105782000001,5.321935235,5.369719868,5.391274592,5.644064172999999,5.798740145,5.831569318,6.072346756,6.349178929,6.5383623470000005,6.465383908,6.3141946760000005,6.24878126,6.175149041
ARM,4.2656367180000005,5.327770968,6.386952416000001,7.205524099,7.016066007,6.646914382,5.92524369,5.2574596719999995,4.917928166,4.528794826,4.1749435130000006,3.9347304569999997,3.76425106,3.619929892,3.742702572,3.903297171,4.025168286,3.97663293,4.0568347110000005,4.10841731,4.080696823,4.087334337,4.089238066,3.850910254,3.7568868589999997,3.757687621,3.702613281,3.691190976
ASM,6.4774510670000005,6.385372356,6.2893046120000005,6.207117391000001,6.15839408,6.081776754,5.997617968999999,5.925776179,5.8424122789999995,5.850501914,6.006329137000001,6.19596354,6.286370726,6.10459192,5.795749496,5.553783973,5.358078722,5.23491167,5.15683063,5.105671225,5.125203045,5.084413419,5.083769769,5.094273829,5.1705324269999995,5.180393204,5.197962928,5.215552013
ATG,3.932328637,4.037941906,4.068467356,4.141052395,4.2704433569999996,4.573335041,4.389975115,4.464318119,4.528574346,4.58458331,4.671772335,5.124421438,4.894379016999999,4.942849483,5.10665274,5.315982518999999,5.3991434289999995,5.856071071000001,5.823261638,6.218547422,5.939056973,5.830335572999999,5.701403053,5.597785666,5.393841212000001,5.306304956,5.360339044,5.343733299
AUS,2.126148419,2.036253165,1.9875087930000002,1.9085175030000001,1.927946133,1.8848709069999998,1.879703271,1.8653572,1.865829731,1.8280167980000002,1.77668492,1.680551242,1.612021031,1.5364940440000001,1.438616006,1.4173858069999998,1.447053533,1.468880606,1.493395531,1.497723194,1.4631154130000001,1.415215343,1.362175759,1.333324853,1.351897347,1.379401186,1.3676786580000002,1.3674117590000001
AUT,1.439061394,1.434410278,1.41783111,1.3797253040000002,1.292955363,1.214972191,1.160605102,1.0497824040000001,1.0469141020000001,0.99499447,0.978723569,0.9552452159999999,0.9299823220000001,0.891158725,0.89862572,0.913582143,0.884061262,0.8650678340000001,0.8473823079999999,0.886640386,0.873285089,0.856023118,0.825863035,0.811731292,0.820804022,0.833064425,0.810092885,0.781109554
AZE,8.381560456,10.35604945,13.50398338,14.92307477,14.79861345,12.73008271,10.83395005,9.180901172,7.767914094,6.600617292000001,5.701337043,5.067712747,4.644756073,4.369601809,4.14779021,4.0196972760000005,3.744414025,3.3977512410000004,3.519017933,3.556877698,3.636308581,3.6933493439999996,3.7166590580000003,3.741363923,3.735941262,3.6894550039999996,3.6507879489999997,3.6582288139999997
BDI,0.903133223,0.890724128,0.861881199,0.865431304,0.8699265709999999,0.859968313,1.029717396,4.680367382,0.827559288,0.797169815,0.76903515,0.7284949909999999,0.7097406909999999,1.327591791,1.456864877,0.688718035,0.6761440470000001,1.6523879380000002,0.648915736,0.63757681,0.629145866,0.627277465,0.622290311,0.614027742,0.602946761,0.589241786,0.5733675779999999,0.571539636
BEL,1.90802142,1.945362051,2.066095734,2.144143086,2.191923943,2.206532057,2.226026231,2.2380322180000003,2.3115714080000003,2.352025873,2.266351686,2.20402992,2.114322759,1.948646892,1.871618739,1.818027227,1.72054175,1.7118066980000002,1.647586235,1.604561135,1.560116619,1.5823037819999999,1.546726782,1.480380614,1.423669878,1.406876644,1.3556598530000001,1.3392598070000001
BEN,5.320326156,5.383949822999999,5.436093922,5.488950281,5.602871561000001,5.697183256000001,5.78404115,5.851437452000001,5.8833109839999995,5.847970354,5.865619368,5.907727792,5.871714311,5.781140643,5.697002177000001,5.5445238770000005,5.458047658,5.383816167999999,5.316788809,5.3302683360000005,5.339979295,5.398576469,5.453578299,5.4173662579999995,5.315084757,5.225763575,5.095160872,4.992135978
BFA,12.24755637,12.01868499,11.85171286,11.70476623,11.58122244,11.465715800000002,11.32105706,11.25672401,11.6081492,11.02544203,11.02116339,10.79762907,10.62293799,10.42206139,10.24569532,10.09913182,10.07259105,9.96514185,9.913450992000001,9.867838737000001,10.023235699999999,9.931493207,10.24386467,10.30050176,10.34663038,10.39295182,10.41941867,10.28283988
BGD,2.741977888,2.647909314,2.642997225,2.652205073,2.617273492,2.6681126330000002,2.648370333,2.608954371,2.546209217,2.441327453,2.392816165,2.353299867,2.2197240430000003,2.160348175,2.101541684,2.06351629,2.074746001,2.047321282,2.035797704,1.9969511819999999,1.9540993340000001,1.845164601,1.743768538,1.741349522,1.669961945,1.614502562,1.574452775,1.5691046780000002
BGR,3.9707392489999997,4.222414361,4.807973798,5.18664206,5.6240263960000005,5.619770344,5.550481382999999,5.59043587,5.169333626,4.588161734,4.511688723,4.194892006,3.919249634,3.735655235,3.5982182110000003,3.4300681000000006,3.240951243,3.067382207,2.934576119,2.8352765539999996,2.661882751,2.54866328,2.450389098,2.3717199769999997,2.480263449,2.463698902,2.499075089,2.526974231
BHR,1.554798075,1.6145751,1.6570677040000001,1.6835741119999998,1.696552865,1.7463522340000002,1.726480737,1.7265000519999998,1.89867861,1.983975443,2.052157374,2.080625672,2.021132749,1.9641478669999999,2.003420925,2.006474905,1.973232307,1.915970172,1.88488598,1.81714415,1.7336517619999998,1.671251861,1.6023809130000002,1.5523665340000001,1.512347614,1.488175826,1.454001879,1.426544899
