latitude,Country or region,within_tropics
42.546245,Andorra,0
23.424076,United Arab Emirates,1
33.93911,Afghanistan,0
17.060816,Antigua and Barbuda,1
18.220554,Anguilla,1
41.153332,Albania,0
40.069099,Armenia,0
12.226079,Netherlands Antilles,1
-11.202692,Angola,1
-75.250973,Antarctica,1
-38.416097,Argentina,1
-14.270972,American Samoa,1
47.516231,Austria,0
-25.274398,Australia,1
12.52111,Aruba,1
40.143105,Azerbaijan,0
43.915886,Bosnia and Herzegovina,0
13.193887,Barbados,1
23.684994,Bangladesh,1
50.503887,Belgium,0
12.238333,Burkina Faso,1
42.733883,Bulgaria,0
25.930414,Bahrain,0
-3.373056,Burundi,1
9.30769,Benin,1
32.321384,Bermuda,0
4.535277,Brunei,1
-16.290154,Bolivia,1
-14.235004,Brazil,1
25.03428,Bahamas,1
27.514162,Bhutan,0
-54.423199,Bouvet Island,1
-22.328474,Botswana,1
53.709807,Belarus,0
17.189877,Belize,1
56.130366,Canada,0
-12.164165,Cocos [Keeling] Islands,1
-4.038333,Congo [DRC],1
6.611111,Central African Republic,1
-0.228021,Congo [Republic],1
46.818188,Switzerland,0
7.539989,C?te d'Ivoire,1
-21.236736,Cook Islands,1
-35.675147,Chile,1
7.369722,Cameroon,1
35.86166,China,0
4.570868,Colombia,1
9.748917,Costa Rica,1
21.521757,Cuba,1
16.002082,Cape Verde,1
-10.447525,Christmas Island,1
35.126413,Cyprus,0
49.817492,Czech Republic,0
51.165691,Germany,0
11.825138,Djibouti,1
56.26392,Denmark,0
15.414999,Dominica,1
18.735693,Dominican Republic,1
28.033886,Algeria,0
-1.831239,Ecuador,1
58.595272,Estonia,0
26.820553,Egypt,0
24.215527,Western Sahara,1
15.179384,Eritrea,1
40.463667,Spain,0
9.145,Ethiopia,1
61.92411,Finland,0
-16.578193,Fiji,1
-51.796253,Falkland Islands [Islas Malvinas],1
7.425554,Micronesia,1
61.892635,Faroe Islands,0
46.227638,France,0
-0.803689,Gabon,1
55.378051,United Kingdom,0
12.262776,Grenada,1
42.315407,Georgia,0
3.933889,French Guiana,1
49.465691,Guernsey,0
7.946527,Ghana,1
36.137741,Gibraltar,0
71.706936,Greenland,0
13.443182,Gambia,1
9.945587,Guinea,1
16.995971,Guadeloupe,1
1.650801,Equatorial Guinea,1
39.074208,Greece,0
-54.429579,South Georgia and the South Sandwich Islands,1
15.783471,Guatemala,1
13.444304,Guam,1
11.803749,Guinea-Bissau,1
4.860416,Guyana,1
31.354676,Gaza Strip,0
22.396428,Hong Kong,1
-53.08181,Heard Island and McDonald Islands,1
15.199999,Honduras,1
45.1,Croatia,0
