Country Name,Country Code,1980,1990,2000,2001,2002,2003,2004,2005,2006,2006,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,AFG,33010000,121720000,136010000,410360000,1309770000,1593670000,2310640000,2837950000,2962000000,5076880000,4874840000,6234870000,6470360000,6865790000,6666770000,5152540000,4942970000,4267290000,4069210000,3804010000,..,..
Albania,ALB,..,11050000,317850000,268530000,307360000,349310000,300940000,315080000,324040000,308630000,364840000,357150000,365070000,379480000,349160000,269980000,281170000,333580000,168600000,157320000,..,..
Algeria,DZA,205160000,331650000,199960000,198860000,186120000,239240000,316970000,347380000,240680000,395010000,324830000,302390000,201250000,193350000,147320000,203420000,160620000,87490000,157930000,189190000,..,..
American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,52440000,265770000,302210000,282730000,414030000,493500000,1144570000,414680000,163520000,259980000,369040000,238940000,235170000,192940000,243610000,285540000,235390000,380060000,206530000,223220000,..,..
Antigua and Barbuda,ATG,5500000,4610000,9880000,8580000,13510000,5630000,1900000,8060000,3280000,4990000,6070000,4260000,19660000,15420000,2090000,1590000,2550000,1490000,60000,9900000,..,..
Argentina,ARG,19480000,168740000,60370000,153240000,88190000,107710000,92080000,94120000,110430000,85810000,120000000,113670000,128530000,95180000,177760000,34730000,48790000,-18870000,2620000,-4930000,..,..
Armenia,ARM,..,..,215890000,211470000,295220000,250400000,256120000,172620000,215390000,351900000,304430000,525610000,342580000,395500000,270560000,280360000,267430000,347480000,326430000,255400000,..,..
Aruba,ABW,..,29980000,11500000,-1700000,10490000,76220000,-11320000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Austria,AUT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Azerbaijan,AZE,..,..,140610000,230910000,350810000,302030000,175830000,210900000,207900000,226380000,234640000,233330000,161560000,287470000,286790000,-70830000,216740000,69620000,77510000,115510000,..,..
"Bahamas, The",BHS,2010000,3150000,5470000,8390000,5320000,3920000,4750000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bahrain,BHR,206530000,137500000,60430000,70810000,61580000,131770000,58220000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bangladesh,BGD,1286720000,2092760000,1174330000,1045000000,900550000,1397870000,1416830000,1320430000,1222890000,1512900000,2070900000,1237380000,1404600000,1494680000,2154050000,2633590000,2422640000,2570130000,2505050000,3740010000,..,..
Barbados,BRB,13860000,2630000,240000,-1150000,3310000,19780000,28810000,-2100000,-2290000,17510000,7120000,10860000,16200000,..,..,..,..,..,..,..,..,..
Belarus,BLR,..,..,35960000,40550000,39450000,45980000,49940000,58010000,74760000,85430000,111140000,98220000,136260000,119800000,102870000,107140000,120610000,104580000,-22310000,-253150000,..,..
Belgium,BEL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belize,BLZ,14500000,30320000,16290000,23200000,23600000,13180000,7510000,12000000,8160000,22210000,23850000,26970000,25010000,21920000,26210000,51270000,37560000,28270000,34960000,34080000,..,..
Benin,BEN,88230000,266880000,244770000,280420000,221540000,301990000,391790000,349080000,400310000,475290000,636720000,677560000,689270000,672610000,507880000,660200000,599320000,430140000,493120000,675840000,..,..
Bermuda,BMU,280000,42190000,60000,20000,20000,30000,90000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bhutan,BTN,8060000,46000000,53390000,60780000,73400000,76900000,78260000,90100000,95720000,103050000,85080000,127300000,131380000,141220000,161650000,136800000,130640000,97280000,51600000,118540000,..,..
Bolivia,BOL,169460000,545440000,486030000,747680000,692750000,941180000,788760000,643350000,850040000,475000000,628320000,711470000,717690000,723470000,661720000,702300000,674560000,791310000,696450000,946940000,..,..
Bosnia and Herzegovina,BIH,..,10000,737930000,640080000,555780000,541920000,686090000,539890000,536840000,599100000,465010000,417340000,511180000,625780000,568020000,521210000,630200000,355030000,445410000,440560000,..,..
Botswana,BWA,105270000,145220000,30620000,28930000,37310000,28050000,46610000,48270000,66610000,105070000,723100000,282350000,154670000,118500000,73070000,107370000,99370000,65540000,90570000,102050000,..,..
Brazil,BRA,85350000,151060000,241070000,236360000,215930000,207580000,161840000,192500000,89940000,308760000,452370000,353690000,448670000,821070000,1288540000,1155730000,914150000,1003150000,674630000,265060000,..,..
British Virgin Islands,VGB,4610000,5570000,4840000,2060000,-80000,-530000,-1220000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Brunei Darussalam,BRN,30000,3880000,630000,350000,-1820000,470000,770000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bulgaria,BGR,..,13620000,307140000,345950000,326810000,419410000,618370000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
