,Unnamed: 0,pedmort_2016,pedmort_53mean,pedmort_3mean,Code,sanit_2015,sanit_21mean,sanit_3mean,maln_12mean,maln_3mean,maln_2016,ped_labor2018,ped_labor_14mean,ped_labor_3mean,nat_dis2017,nat_dis_23mean,nat_dis_3mean,homoc_2017,homoc_3mean,homoc_23mean_x,Overall rank,Country or region,Score,Outcome,Unnamed: 24
0,0,6.79,20.64166667,7.316666667000001,AFG,31.9,24.26666667,31.13333333,32.11538462,27.46666667,30.3,,,,0.068638743,0.22038866199999999,0.116639824,10.67307599,12.02989835,13.54551222,154.0,Afghanistan,3.2030000000000003,0.0,
1,1,8.11,19.50205882,8.903333332999999,AGO,51.6,33.35454545,50.26666667,52.43076923,27.53333333,23.9,,,,0.0059867340000000005,0.010492686000000001,0.033983131,3.1548608469999997,3.316997575,4.819876085,,,,,
2,2,0.88,3.666388889,0.94,ALB,93.2,84.00909091,92.66666667,8.761538462,5.566666667000001,5.5,,,,0.004623365,0.007723148000000001,0.004757824,2.488883494,2.50594952,5.820425711,107.0,Albania,4.718999999999999,0.0,
3,3,0.33,0.612758621,0.35,AND,100.0,100.0,100.0,,,,,,,0.0,0.0,0.0,0.7023201109999999,0.7153721009999999,0.949330387,,,,,
4,4,0.91,5.030555556,0.8733333329999999,ARE,97.6,97.43636364,97.5,4.346153846,3.833333333,2.5,,,,0.0,0.0,0.0,1.201010852,1.21370072,1.252038172,21.0,United Arab Emirates,6.825,1.0,
5,5,1.04,3.361333333,1.143333333,ARG,96.4,91.47727273,95.8,4.315384615,3.5,3.8,,,,0.00030136,0.005617387,0.002868905,6.175149041,6.342786615,5.880806089,47.0,Argentina,6.086,1.0,
6,6,1.26,4.465526316,1.4,ARM,89.5,89.435,89.5,10.79230769,4.4,4.3,,,,0.0,0.002240959,0.0,3.691190976,3.739062587,4.703890764,116.0,Armenia,4.559,0.0,
7,7,0.74,1.8041379309999999,0.8,ATG,,84.59090909,,,,,,,,0.17763742,0.055683055999999995,0.0,5.343733299,5.353495071,4.975528413999999,,,,,
8,8,0.35,1.239444444,0.38333333299999994,AUS,100.0,100.0,100.0,2.5,2.5,2.5,67.8471,69.779416,66.9814,0.007034475,0.006973841999999999,0.003953456,1.3674117590000001,1.36632573,1.67719955,11.0,Australia,7.228,1.0,
9,9,0.36,1.574814815,0.37,AUT,100.0,100.0,100.0,2.5,2.5,2.5,56.6519,59.063012,56.9935,0.0,0.015212898999999998,0.013703146000000001,0.781109554,0.821320444,1.0353593220000001,10.0,Austria,7.246,1.0,
