1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
72.1036,69.6568,69.3864,68.7258,70.57600000000001,71.6404,71.6635,70.0599,69.8697,69.9245,70.1813,70.6712,69.9757,70.2218,70.1398,70.8102,70.8014,70.7603,70.7475,69.1003,68.4255,68.1392,67.5191,66.8228,66.5627,67.2641,66.7857,66.8944,67.8471
63.21,63.61,64.36,61.71,62.251999999999995,61.7429,59.6193,58.4123,58.5486,58.3668,56.0749,54.6842,55.7429,54.706,55.6518,58.0023,57.9282,59.4206,59.5161,59.5016,58.276,59.1959,59.2401,58.7749,58.0279,57.4279,57.4664,56.0862,56.6519
35.5432,36.4814,36.2135,34.4084,35.1931,33.8788,32.7662,32.0326,32.634,32.8698,35.7307,33.6109,33.8339,33.5074,34.0268,35.0161,34.6953,33.8665,33.4029,32.4429,32.5097,31.9823,31.479,30.9887,30.1949,30.0024,28.4582,28.081,29.625999999999998
69.9169,68.1251,66.1559,64.4301,63.9191,63.1587,62.2416,61.4695,61.8113,63.4627,64.3921,64.6633,66.5307,67.334,66.8441,65.8704,66.2379,66.98,67.3447,65.3387,64.4914,64.5171,63.5118,63.8303,64.1957,64.2361,63.7297,63.9134,63.3388
69.15,71.605,70.749,72.50399999999999,67.975,66.192,67.8433,67.2832,67.4312,68.9741,68.422,67.7661,69.2633,69.35300000000001,67.0569,65.6555,68.6182,67.4052,67.1323,67.2956,68.11399999999999,68.5359,67.5839,68.0112,67.9042,67.5185,68.3549,68.669,67.9902
39.0,37.69,38.62,41.18,41.68,39.08,43.596000000000004,42.946000000000005,41.353,40.359,38.556999999999995,37.063,36.311,36.084,36.351,36.2,36.618,37.145,39.537,38.429,37.6963,38.5955,37.3241,36.5159,36.239000000000004,35.9844,34.7304,34.1967,33.6614
54.869,53.486999999999995,51.746,53.169,52.397,53.258,49.335,50.826,53.598,51.246,50.376999999999995,51.856,50.123000000000005,51.196999999999996,48.21,49.131,49.758,51.913999999999994,49.721000000000004,47.688,44.6468,43.3108,47.9679,47.4171,47.738,45.4802,42.278,42.3857,45.2209
,58.12,,51.254,52.015,50.56100000000001,49.34,45.8767,46.3462,45.9009,43.8845,41.053999999999995,38.3206,35.8279,34.5526,33.991,33.5399,31.9231,31.1432,31.8441,30.8788,29.9319,31.2993,31.5469,32.1989,32.4775,31.9797,31.6517,30.4064
60.6685,60.4557,58.2985,56.2205,54.907,52.4648,50.3753,49.6656,50.0034,50.757,50.4059,50.3866,50.0113,49.4603,47.4569,49.6283,50.4493,51.5425,52.1573,51.7631,51.2791,52.4106,50.6992,50.845,49.9236,48.8225,49.2155,49.8646,50.2756
73.4777,73.1609,72.0124,70.5284,69.0997,73.211,73.7622,74.2376,71.5568,73.3386,71.8915,67.2137,68.8186,65.8651,66.4322,68.1351,69.9382,70.6113,72.1567,70.9074,67.4954,67.0923,64.0548,61.7234,61.5065,62.107,66.1512,63.2553,63.1839
47.0447,45.3602,44.5081,43.0545,43.2393,41.5745,40.5823,40.7663,41.0604,42.0187,43.1127,42.3825,43.629,44.3779,44.8832,47.9167,48.1706,47.8853,47.6951,45.0393,42.6608,40.9161,39.025999999999996,37.7749,35.7144,34.7174,33.0462,33.3297,32.9834
52.57899999999999,51.835,50.923,50.528999999999996,53.248000000000005,49.126999999999995,46.94,44.2744,40.9838,37.0152,37.5135,36.2538,31.8514,39.4228,39.8766,36.199,35.7277,37.9356,40.8439,39.0353,37.7738,40.0362,40.7775,39.8088,39.2012,41.7586,43.2655,46.0849,47.3257
