2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
46.1,46.4,43.7,39.8,36.1,33.2,30.1,27.0,24.5,22.9,22.1,22.2,23.4,25.5,27.6,29.3,30.3
71.5,68.9,65.3,61.3,57.8,54.8,51.8,48.6,45.4,42.5,40.4,38.2,35.1,30.8,27.0,24.8,23.9
7.2,7.8,8.7,9.7,10.6,10.9,10.8,10.3,9.5,8.4,7.4,6.6,6.0,5.7,5.5,5.5,5.5
2.5,2.5,2.5,2.6,3.2,4.1,4.9,5.6,6.0,6.0,5.9,5.6,5.1,4.5,3.9,3.1,2.5
3.5,4.1,4.9,5.3,5.2,4.7,4.4,4.2,4.1,4.1,4.0,3.9,3.7,3.5,3.4,3.6,3.8
23.8,23.5,20.7,15.6,10.9,7.8,6.1,5.4,5.0,5.3,5.5,5.6,5.1,4.6,4.3,4.3,4.3
2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
23.0,18.6,14.8,11.4,8.2,5.5,3.7,2.8,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
22.7,20.6,18.6,17.4,16.3,15.4,14.3,13.3,12.7,12.1,11.8,11.3,10.8,10.2,9.6,9.9,10.4
25.4,25.6,25.8,25.6,25.3,24.9,24.2,23.6,22.7,21.9,21.2,20.7,20.3,20.2,20.3,20.8,21.3
20.8,18.7,18.2,17.5,17.1,16.6,16.3,16.3,16.4,16.6,16.9,17.0,17.0,16.8,16.5,15.8,15.2
4.8,5.2,5.6,6.0,6.3,6.5,6.3,6.1,5.8,5.7,5.6,5.4,5.0,4.4,3.8,3.3,3.0
4.4,4.7,4.5,4.1,3.5,3.2,2.9,2.8,2.6,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
2.5,2.6,3.2,3.7,3.6,3.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
