Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
AFG,0.0,0.6764362420000001,0.294514478,0.046547556,0.061584747999999995,0.143508553,0.026005452999999998,0.063217581,2.452563197,0.025518081,0.0,0.00151597,0.507786348,0.053646364,0.007155546,0.224220878,0.152465524,0.121111234,0.0,0.042878730999999996,0.150968141,0.026857351,0.143855141,0.066970776,0.24037291100000002,0.078319045,0.031227515,0.068638743
AGO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028281103999999998,0.02726566,0.003875745,0.007243131999999999,0.013417132,0.0,0.0,0.05183520900000001,0.0035061420000000003,0.031374761,0.012826646,0.067438001,0.0,0.004760932,0.0,0.040266334,0.061683058,0.0059867340000000005
ALB,0.0,0.0,0.064420391,0.0,0.006164503000000001,0.024507897999999997,0.0059218790000000006,0.005210465,0.0,0.005616136999999999,0.0,0.0,0.040158101,0.0,0.005552486,0.016804191,0.0,0.0,0.0,0.0,0.010999501,0.0,0.0,0.0,0.0,0.00482834,0.009445133,0.004623365
AND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARG,0.008282818,0.0,0.017310155,0.0057845119999999995,0.0,0.002290839,0.0,0.006972516999999999,0.008234906,0.0038437370000000003,0.006779053,0.011571226,0.007165052,0.010710592,0.002395029,0.004825047,0.0010214310000000002,0.004582532,0.0036641729999999997,0.007209343000000001,0.002262189,0.000636406,0.001258789,0.018016941,0.002484389,0.005216083,0.000906243,0.00030136
ARM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016055953,0.0,0.0,0.0,0.0,0.0,0.0,0.00385772,0.0,0.004679519,0.0,0.004431464,0.004333571,0.004446094,0.005097715,0.007221713,0.003659258,0.0,0.0,0.0,0.0
ASM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.104559458,0.0,0.0,0.0,0.0,0.0,10.37244209,0.0,0.0,0.0,0.32404729,0.0,0.0,0.0,0.0
ATG,0.0,0.0,0.0,0.0,0.0,0.461591949,0.0,0.0,0.441200465,0.433600935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17763742
AUS,0.01338563,0.011726553,0.008200879,0.002465371,0.00079748,0.003986595,0.017991175,0.031208692000000003,0.005460746,0.009365929,0.002318646,0.003084253,0.000756559,0.002270958,0.002267393,0.003024989,0.002980166,0.003595589,0.0035253059999999998,0.004193994,0.003475508,0.023154241000000002,0.005449636999999999,0.002685926,0.002587856,0.005624825,0.003647688,0.007034475
AUT,0.003614074,0.011991383999999999,0.0,0.0,0.002469601,0.008639756,0.0,0.0038168409999999996,0.0,0.068258431,0.018127586,0.0,0.023756565,0.02760625,0.006696021999999999,0.035822858,0.022976727000000002,0.012025351,0.022746854,0.019561666000000002,0.031157161000000003,0.001284273,0.01657914,0.027979042000000003,0.0075755580000000005,0.022355106,0.011178773000000001,0.0
AZE,0.0,0.0,0.0,0.0,0.0,0.007697162,0.0,0.017399273,0.001599141,0.001630363,0.069650172,0.001559855,0.001258751,0.001264409,0.001803541,0.0,0.0,0.0,0.0,0.0,0.004414063,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BDI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028633770000000003,0.0,0.025079886000000003,0.005861489,0.010740371,0.0,0.011096903,0.015044496999999999,0.0,0.0,0.12157089,0.04625601,0.032290949,0.00735205
BEL,0.015307117,0.0,0.0,0.0,0.0,0.005716486999999999,0.0,0.0,0.000959162,0.0019206129999999998,0.0009535810000000001,0.0,0.002851849,0.0,0.0,0.0009772469999999999,0.0,0.0019505920000000001,0.0,0.0,0.0038272040000000003,0.0047157,0.0,0.0,0.0,0.0,0.0018531270000000002,0.0
BEN,0.0,0.004659295,0.0,0.0,0.0,0.030099882999999997,0.016261629,0.0,0.0,0.004263666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012791482,0.019037162,0.012589798000000001,0.057479055999999994,0.0,0.004908052,0.0,0.0,0.0,0.0,0.0
BFA,0.0,0.0,0.0,0.0,0.013346223,0.0,0.0,0.0,0.0,0.0034655709999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029531985,0.003413985,0.005114722,0.009013304,0.0,0.010000024,0.001105771,0.0,0.004408789000000001,0.008254776,0.001098282
BGD,0.077532552,11.16335684,0.0037113809999999997,0.061944804000000006,0.031715667,0.124948665,0.070545472,0.056070285,0.14954774,0.03671219,0.015849962,0.027813905,0.014908051,0.032863716,0.11379154,0.026370652,0.017577188,0.621378281,0.007711335,0.0026408409999999997,0.01225531,0.004691407,0.032546634,0.005999103,0.009321238,0.018691878999999998,0.019727153,0.018405907
BGR,0.000970897,0.001953419,0.00378211,0.001871552,0.0026888740000000004,0.0,0.000866863,0.0024999939999999997,0.002582381,0.00444605,0.008762041,0.001774481,0.0008932310000000001,0.001805317,0.006311262,0.000887297,0.0008782719999999999,0.011580621999999999,0.002722221,0.0,0.0009153869999999999,0.0,0.005603598,0.0,0.003669692,0.004657456,0.0,0.0
BHR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BHS,0.0,0.0,0.266165273,0.0,0.0,0.0,0.0,0.0,0.0,0.107905974,0.0,0.0,0.054139050999999994,0.0,0.635826672,0.053370727,0.0,0.051203057,0.0,0.0,0.141309776,0.0,0.044886468,0.0,0.0,1.352286469,0.0,0.0
BIH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020346726000000002,0.0,0.0,0.0,0.0,0.012425668999999999,0.0,0.0,0.0,0.0,0.008695213,0.0,0.0,0.0,0.077720524,0.0,0.0,0.0
BLR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003682413,0.0,0.00140183,0.0,0.0,0.002527337,0.0022246839999999998,0.0,0.0,0.0,0.002235496,0.004079222,0.004002449,0.0026296170000000003,0.004344207,0.0,0.002394244,0.002357086,0.0,0.0,0.0
BLZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7042685559999999,0.0,1.078394058,2.336760681,0.0,0.0,0.0,0.221802907,0.0,0.0,0.574158501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44998426700000005,0.0,0.0,0.903976325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOL,0.0,0.0,0.006337289,0.0,0.008089729,0.0,0.065604438,0.092010106,0.256618508,0.0,0.001680801,0.069541557,0.162385871,0.18381937,0.058481784,0.0,0.042054852000000004,0.129148487,0.062149909,0.0,0.042459723,0.084028275,0.020836766,0.12822523800000002,0.242372792,0.029428082999999997,0.0,0.0
BRA,0.0036492729999999998,0.0058922359999999995,0.018251106,0.00040760000000000004,0.002121424,0.022708232000000002,0.015455231000000002,0.011253468,0.0041654909999999995,0.0041331020000000005,0.008527507,0.01224504,0.010268562,0.024370238,0.01611458,0.008429527,0.008330441999999999,0.01276541,0.031555093,0.014651987,0.060868137,0.30490918899999997,0.006443206999999999,0.014926571000000001,0.008615798000000001,0.006276927,0.007139028,0.001037699
BRB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042663494,0.042178228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.170006123,0.0,0.0
BTN,0.0,0.0,0.0,0.0,0.877623383,0.0,0.0,0.0,0.0,0.0,4.804490555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59321047,0.0,0.025678576,0.0,0.0,0.0,0.0,0.0,0.0
BWA,0.0,0.0,0.0,0.0,0.0,0.15516544300000001,0.0,0.0,0.0,0.0,0.015177151000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.072303122,0.0,0.0,0.0,0.0
CAF,0.0,0.0,0.0,0.0,0.0,0.0,0.012393655,0.0,0.0,0.0,0.0,0.004493274,0.0,0.0,0.00426166,0.001406172,0.0,0.00139521,0.0,0.005667731,0.00429337,0.001457746,0.0,0.0,0.0,0.001551633,0.0,0.0
CAN,0.013501174,0.00153739,0.0040314,0.002939383,0.0038631459999999996,0.006618895,0.008895199,0.006058419000000001,0.022078021,0.00960336,0.006398638000000001,0.009082019,0.003132497,0.010157761999999999,0.0013217860000000001,0.00303555,0.004339845,0.007632354,0.008750233,0.0058130790000000005,0.004559989,0.007828803,0.002402242,0.002385485,0.0,0.0,0.0,0.001432289
CHE,0.007991028,0.0,0.0,0.0032191359999999996,0.0,0.014142641999999999,0.022515632999999997,0.034961075,0.007983095,0.043566482000000004,0.046231887,0.032413701,0.030584392999999998,0.014408994,0.016415153999999998,0.041152404,0.019648498,0.014699898999999999,0.018016771,0.019308999,0.025685500000000003,0.021027661,0.017495976,0.025223971,0.02059921,0.029549335,0.0,0.0
CHL,0.0,0.109441544,0.0,0.15788513099999998,0.003870072,0.037882703999999996,0.0,0.041512056,0.004960671,0.0,0.020075883,0.010875522,0.025648708,0.0,0.005813668,0.067557243,0.020800782,0.016972326,0.011358482,0.0032256240000000003,0.527068734,0.00103807,0.001019784,0.003968327,0.002942896,0.21035504600000002,0.011111538999999998,0.024979444
CHN,0.016260478999999998,0.025919948999999998,0.017554635,0.018933453,0.037314054,0.028945666000000002,0.06470724900000001,0.020337611000000002,0.054176268,0.018257375,0.005708235,0.011092814,0.016943873999999998,0.012884833,0.009090955999999999,0.00881319,0.011564706999999999,0.013805488999999999,1.040404525,0.006636348,0.078953811,0.009214916,0.00904416,0.015611671,0.016680564,0.00490048,0.009503105,0.00550254
CIV,0.0,0.0,0.0,0.0,0.0,0.0,0.014542111000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002829918,0.012883522,0.008602989,0.0,0.0,0.0,0.023460065,0.008331495,0.010629151000000002,0.008127745
CMR,0.0,0.001624877,0.0,0.0,0.004382962,0.0,0.0,0.0,0.0,0.014489515,0.001734664,0.016685683,0.0,0.010362356999999999,0.0,0.000983528,0.0,0.0038460240000000004,0.004314389,0.0,0.006267903000000001,0.0,0.012309846999999999,0.0,0.0,0.002016763,0.0,0.0015739329999999998
COD,0.00454125,0.0,0.001690251,0.0,0.006858611,0.0,0.0,0.0,0.0,0.000309115,0.0,0.009365456999999999,0.035431298,0.004239687,0.0,0.002053855,0.00058075,0.0045888940000000005,0.005099523,0.0,0.006540133,0.0,0.000144125,0.0,0.024746182000000002,0.0052135390000000005,0.0077605090000000005,0.08269375799999999
COG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0048704429999999995,0.0,0.0,0.0,0.0,0.0,0.002532637,0.015414016000000001,0.0,0.0,0.0,0.0,0.0,0.051276514,0.0,0.0,0.0,0.0,0.0
COL,0.025433562000000003,0.08538707,0.012437626,0.141355302,0.088338956,0.068768171,0.011962493000000001,0.034971122,0.02956296,0.479415174,0.108847414,0.04872090900000001,0.06122330000000001,0.07723645400000001,0.030384237,0.068699425,0.13058746,0.15683646,0.072870768,0.066915945,0.170306102,0.34033840200000004,0.084207868,0.048991883,0.058392518,0.079439485,0.009698221,0.149722106
COM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022519654,0.0,0.0,0.0,0.044535859000000004,0.0,0.0,0.092154888,0.0,0.0,0.0,0.0,0.0
CPV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10994543400000001,0.0,0.0,0.0,0.0,0.0,0.307065425,0.0,0.0
CRI,0.00863088,0.400415817,0.0,0.09425017699999999,0.014802303000000001,0.0,0.42822402,0.028044593,0.089080958,0.112638309,0.013508879,0.00657289,0.07164541599999999,0.018971303999999998,0.06187622,0.038169119,0.0,0.12201465199999999,0.04918921,0.131255991,0.274187019,0.021447348999999997,0.036669641,0.0,0.0049572670000000004,0.0,0.039488973999999996,0.080723789
CUB,0.0055474719999999995,0.0,0.0,0.065030432,0.017589373999999998,0.0025052729999999997,0.003789929,0.0,0.00511099,0.015294556,0.002591385,0.007700258000000001,0.001328366,0.001285548,0.004967828,0.019224142,0.011158993999999998,0.004872869,0.011753592,0.003444355,0.00449271,0.0,0.018983431000000002,0.002176574,0.0,0.003023976,0.0,0.009875459
CYP,0.0,0.0,0.0,0.0,0.0,0.034384347999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01428709,0.0,0.029178544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CZE,0.0,0.000804536,0.0,0.0,0.0,0.0,0.0008859089999999999,0.015937559,0.00456837,0.000917153,0.0,0.000919992,0.006457526,0.0,0.002786865,0.0018619589999999998,0.006689066,0.0009580999999999999,0.003795882,0.009460954,0.01599906,0.000933476,0.0,0.0009238610000000001,0.0,0.0,0.0,0.0
DEU,0.00697456,0.0,0.00011246200000000001,0.001236247,0.001468827,0.0006786689999999999,0.000113881,0.0,0.00035728,0.0022672070000000002,0.000119448,0.00108837,0.003969288,0.00024024,0.00024658,0.000740769,0.000990818,0.0024584520000000003,0.000604597,0.00094587,0.0008159560000000001,0.001038721,0.000114945,0.0012308360000000001,0.001123115,0.00075199,0.000732857,0.0
DJI,0.0,0.0,0.0,0.0,3.154173446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.890326982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DMA,0.0,0.0,0.0,0.0,0.0,0.331040333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.352784996,0.176392965,0.0,0.0,0.6933231759999999,0.0,0.0,0.49408881,0.0,0.0,0.0,0.0,0.8750615279999999,0.0,0.0
DNK,0.00166391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011821031000000001,0.0,0.0,0.001723015,0.0,0.0,0.00368846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003863832,0.0,0.0,0.0,0.0
DOM,0.0,0.025603947999999998,0.0,0.076781893,0.0,0.027408194,0.074981298,0.011839463,0.831080941,0.018306078,0.00682458,0.011158188000000001,0.008770247,0.044195109,1.3952839680000002,0.00194987,0.0019192529999999999,0.034379942000000004,0.003827035,0.018925979,0.016749076,0.021779771,0.015684563999999998,0.001652144,0.0015861360000000001,0.003061302,0.022416802000000003,0.0
DZA,0.0,0.0,0.017143417,0.029879283,0.16603500300000001,0.0,0.0031059,0.002979668,0.0,0.025258838999999998,0.034834593,0.66323508,0.034335586,1.628587609,0.015528973,0.015411116,0.0034616390000000003,0.05593856,0.062879484,0.032028667000000004,0.0,0.006515791,0.044517552,0.0,0.003711725,0.007299743000000001,0.0,0.0
ECU,0.00780463,0.0,0.040710263999999996,0.85704825,0.0,0.005649126,0.064988749,0.11844149999999999,0.054203395999999994,0.029022435,0.131938634,0.18531415899999998,0.111385013,0.03414214,0.040528699,0.035897691,0.068136648,0.024372794,0.08688398,0.042666405,0.056868355,0.042298336,0.064120534,0.045782479,0.024618822999999998,0.042554447999999995,0.792581891,0.0
EGY,0.0,0.00023993,0.136058011,0.008368863,0.148392345,0.004312504,0.0030898979999999998,0.005657195,0.0,0.0,0.0005268019999999999,0.000253145,0.0061839419999999996,0.000484375,0.003841603,0.0014270970000000002,0.00046698800000000005,0.000939264,0.022560069,0.000445465,0.013578228999999999,0.00043438300000000005,0.0010753730000000001,0.001511015,0.001073253,0.008410596999999999,0.005301406,0.0
ERI,0.0,0.0,0.0,0.007121408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESP,0.003015608,0.00029664,0.0,0.000296407,0.004693585,0.004021993,0.025724541,0.013389813,0.0,0.001890776,0.002753587,0.0016405360000000002,0.004567493,0.0018052279999999999,0.002367834,0.001827158,0.001841464,0.0033636240000000004,0.0038472520000000002,0.00180915,0.002851475,0.004066213,0.003268042,0.0027747609999999997,0.00074656,0.001440413,0.0012068810000000001,0.0
EST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005448119,0.0,0.0054705280000000005,0.0,0.0,0.0,0.005762339,0.0,0.0,0.006142681999999999,0.0,0.0,0.0064717740000000004,0.0,0.0,0.0,0.0,0.0
ETH,0.0,0.0015244289999999999,0.0,0.00022684400000000003,0.00289394,0.0029650270000000003,0.004390774,0.035864922,0.0,0.005105973,0.007786094,0.0005769659999999999,0.0026035679999999997,0.014383921000000001,0.0,0.027212609,0.127090606,0.003073797,0.006570139,0.0,0.00301032,0.0,0.0,0.0,0.0,0.0,0.023550675,0.021430207000000003
FIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002031114,0.004062883,0.0,0.006072599000000001,0.004107282,0.0,0.0,0.0,0.0,0.0,0.00407558,0.0,0.002001215,0.001974986,0.003941923,0.001949875,0.001932213,0.0019347939999999999,0.0,0.0,0.0
FJI,0.0,0.0,0.022510033999999998,0.455783385,0.0,0.0,0.0,0.463252796,0.0,0.212464837,0.069337601,0.034862807,0.120784103,0.0,0.0,0.0,0.080397858,0.09385789300000001,0.10710904199999999,0.229911967,0.030197422999999998,0.0,0.02930551,0.0,0.0,0.0,0.638632429,0.0
FRA,0.0062658309999999995,0.006077754,0.011392247,0.003395928,0.007221531,0.003232868,0.005724349,0.004429262,0.008113865,0.046498488,0.004377547,0.005477261,0.00916376,0.00482987,0.005029812,0.0057453009999999995,0.008996378000000001,0.004964039,0.0031856909999999996,0.004788311,0.013052328,0.0038264640000000003,0.0021654179999999997,0.005049942,0.003442765,0.004078114,0.0,0.000172732
FSM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.37326165,0.0,0.146477081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.684894298,0.0,0.0
GAB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008102838000000001,0.0,0.0,0.0,0.0,0.0
GBR,0.013262361,0.01555763,0.000313473,0.001079187,0.002366218,0.0026545740000000003,0.001102724,0.00015952799999999998,0.006394171999999999,0.002412757,0.002625563,0.000663537,0.00247393,0.0,0.0,0.0031318120000000003,0.0,0.004706798,0.0017336370000000001,0.001410599,0.000529296,0.000177701,0.0014081520000000002,0.00345628,0.0013839020000000002,0.000673407,0.0008295310000000001,0.0
GEO,0.0,0.522350601,0.001865504,0.0,0.0,0.00207855,0.0,0.015579413,0.0,0.0,0.0,0.0,0.012572881000000001,0.0,0.002149334,0.0,0.018032488,0.002237013,0.0,0.004079168,0.004059658,0.014205126,0.004085007,0.004144589000000001,0.012262306,0.011924522,0.0,0.0
GHA,0.0,0.00341937,0.0,0.0,0.0,0.091429226,0.0,0.0,0.0,0.029509639,0.0,0.006468855,0.0021144320000000003,0.0,0.0,0.0,0.0,0.027725312000000002,0.0,0.019643114,0.030828365,0.006918395999999999,0.0,0.002502091,0.0,0.012369876,0.004932913,0.00943912
GIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00330151,0.00749452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001698691,0.00685774,0.0,0.0,0.0,0.0,0.014159735,0.0,0.0
GMB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47401487700000006,0.0,0.008658790999999999,0.0,0.025004281,0.016425257,0.0,0.0,0.0,0.0,0.03852142,0.068962451,0.0,0.0,0.015005738000000001,0.0,0.0,0.0,0.0
GNB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017629281,0.0,0.0,0.0,0.0,0.0,0.012098271,0.0,0.0,0.0,0.0,0.0,0.0,0.0
