,Unsafe water source (deaths),Unsafe water source (deaths),Unsafe water source (deaths),Unsafe water source (deaths),Unsafe water source (deaths),Unsafe water source (deaths),Unsafe water source (deaths),Unsafe water source (deaths),Unsafe water source (deaths),Unsafe water source (deaths),Unsafe water source (deaths),Unsafe water source (deaths),Unsafe water source (deaths),Unsafe water source (deaths),Unsafe water source (deaths),Unsafe water source (deaths),Unsafe water source (deaths),Unsafe water source (deaths),Unsafe water source (deaths),Unsafe water source (deaths),Unsafe water source (deaths),Unsafe water source (deaths),Unsafe water source (deaths),Unsafe water source (deaths),Unsafe water source (deaths),Unsafe water source (deaths),Unsafe water source (deaths),Unsafe water source (deaths),Poor sanitation (deaths),Poor sanitation (deaths),Poor sanitation (deaths),Poor sanitation (deaths),Poor sanitation (deaths),Poor sanitation (deaths),Poor sanitation (deaths),Poor sanitation (deaths),Poor sanitation (deaths),Poor sanitation (deaths),Poor sanitation (deaths),Poor sanitation (deaths),Poor sanitation (deaths),Poor sanitation (deaths),Poor sanitation (deaths),Poor sanitation (deaths),Poor sanitation (deaths),Poor sanitation (deaths),Poor sanitation (deaths),Poor sanitation (deaths),Poor sanitation (deaths),Poor sanitation (deaths),Poor sanitation (deaths),Poor sanitation (deaths),Poor sanitation (deaths),Poor sanitation (deaths),Poor sanitation (deaths),Poor sanitation (deaths),No access to handwashing facility (deaths),No access to handwashing facility (deaths),No access to handwashing facility (deaths),No access to handwashing facility (deaths),No access to handwashing facility (deaths),No access to handwashing facility (deaths),No access to handwashing facility (deaths),No access to handwashing facility (deaths),No access to handwashing facility (deaths),No access to handwashing facility (deaths),No access to handwashing facility (deaths),No access to handwashing facility (deaths),No access to handwashing facility (deaths),No access to handwashing facility (deaths),No access to handwashing facility (deaths),No access to handwashing facility (deaths),No access to handwashing facility (deaths),No access to handwashing facility (deaths),No access to handwashing facility (deaths),No access to handwashing facility (deaths),No access to handwashing facility (deaths),No access to handwashing facility (deaths),No access to handwashing facility (deaths),No access to handwashing facility (deaths),No access to handwashing facility (deaths),No access to handwashing facility (deaths),No access to handwashing facility (deaths),No access to handwashing facility (deaths)
Year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,7554.049543000001,7359.676748999999,7650.437822,10270.73138,11409.177109999999,12676.647420000001,12154.94232,12329.13171,12133.609540000001,11990.39633,11121.65328,10431.364440000001,9764.768756,11510.492709999999,11656.61466,10973.73633,10040.77296,8884.667717,7703.609481999999,6842.30998,6436.211217,6023.629124,5613.053154,5649.755736,5533.135738,5300.42444,5158.400864,5256.649276,5887.747628,5732.77016,5954.8049869999995,7986.736612999999,8863.010065,9840.84868,9426.896445,9553.555998,9390.04203,9268.489610999999,8588.517136,8046.884118000001,7522.617843000001,8853.838865,8950.64281,8410.948806,7673.530945999999,6776.148232,5857.353606000001,5177.564915,4843.771106,4507.041694,4170.82802,4166.686083,4048.9864369999996,3843.6227270000004,3723.506721,3783.1111170000004,5412.314513,5287.891103,5506.657363,7104.6203510000005,8051.515953,8770.686294,8610.686856999999,8722.943079,8621.884918000002,8502.72999,7910.366272,7501.548129000001,7055.322090000001,8214.459990000001,8331.270817,7928.4637219999995,7393.873325,6631.322021,5854.381952000001,5279.9785759999995,4992.484763,4725.821542000001,4449.080788,4474.557454,4391.708269,4231.83572,4126.336468,4156.209013000001
AGO,21806.29902,22364.783209999998,22654.2633,23151.768519999998,24105.62944,24560.19286,23808.8323,23271.9544,23118.24542,22489.99063,22087.21999,20440.379390000002,19228.279459999998,18239.378080000002,18580.18954,18120.35616,20058.50958,18118.31752,18071.87967,17988.49551,18407.74345,18365.11231,18039.91978,17468.06425,16469.65589,15800.17967,14814.30563,14656.91821,16281.32072,16640.36606,16792.20597,17102.005540000002,17738.97323,17992.4857,17347.44958,16877.41102,16680.03244,16141.04865,15783.50741,14534.39169,13638.313269999999,12911.77849,13124.04028,12763.97696,14077.7456,12680.49508,12623.82554,12578.01765,12872.8918,12812.40843,12513.910759999999,12022.08349,11219.607179999999,10627.32989,9824.913516,9615.556653,14669.0596,15039.3825,15246.656830000002,15583.9055,16151.86401,16429.183080000003,16048.379469999998,15777.61615,15750.1911,15411.15052,15196.828940000001,14288.15284,13604.788719999999,13025.24507,13313.67509,12977.55813,13860.111030000002,12738.54788,12562.52808,12330.10384,12431.96725,12258.07437,11974.38336,11549.87475,10891.08546,10479.67135,9879.372938,9735.710078
ALB,50.12576656,51.04275046,48.82450206,43.78624581,53.14651315,26.10835197,20.99524329,17.33699472,14.38258511,13.00488193,11.04585179,9.12274643,7.837641023,6.905142362,6.346128379,5.94230829,5.487749397999999,5.238184945,5.1036189069999995,4.961786538,4.802752602,4.699012638,4.573722492,4.464492804,4.321290792,4.195118883,4.080630783999999,4.091663843,30.95005744,31.82805143,30.76489637,27.7309745,33.65350157,16.42829199,13.06012973,10.65721622,8.654031112,7.549785754,6.239348777000001,4.893006129,3.982495966,3.318331288,2.904865865,2.672627021,2.48343095,2.400704404,2.375428033,2.314067051,2.241875173,2.159755339,2.05920391,1.956670949,1.84653873,1.742279025,1.641918988,1.5979068490000001,42.27687871,44.27507351,43.19028148,40.68314075,38.38592939,31.49598054,27.24351758,23.41229398,19.89842014,17.37701958,14.52824983,11.70822241,10.10835212,8.881071299,7.802275001,6.888943721,6.1677941810000005,5.502105149,5.180202545,4.835070367,4.648930526,4.583173056000001,4.540286589,4.529588562,4.532397766,4.510946673,4.496203423,4.501301236000001
AND,0.008650193,0.009346925,0.009842952,0.010465,0.01096637,0.011210806,0.011525493000000001,0.011852482,0.012223273,0.01275982,0.013278655,0.013691318000000001,0.014905200000000002,0.015940303,0.017055154,0.017881783000000002,0.01885763,0.02020808,0.021442551,0.022737164,0.023680202999999997,0.022932805,0.023228681,0.023916728999999998,0.024697458999999998,0.025481971000000003,0.026019609,0.027021517000000002,0.006495981,0.0067580059999999996,0.007248598,0.007921991,0.00855659,0.009032309,0.009568670999999999,0.010103974,0.010679276000000001,0.011407138,0.012150963,0.012788596000000001,0.012620891,0.013256437,0.013923155,0.014368283,0.014924221000000001,0.015790188,0.016503897,0.017235966999999998,0.017643885,0.016728037,0.016640856000000002,0.016890151000000003,0.017236981000000002,0.017640309,0.017890112,0.018488202,0.077913565,0.085306621,0.093017435,0.10142063,0.109202225,0.113255425,0.117576672,0.121726901,0.125923813,0.130215879,0.134143297,0.13773099800000002,0.143516031,0.149197623,0.155954798,0.15902571599999998,0.163009287,0.170915512,0.178446755,0.186612665,0.19117953699999998,0.18313889600000002,0.184100391,0.187716277,0.19201030800000002,0.19650217600000003,0.199642066,0.20630635
ARE,15.84904512,14.81451853,14.01096167,13.43369289,13.0798337,12.72864468,12.48204512,12.56750186,12.97323318,13.21864369,13.46138248,13.95153556,14.19013281,14.75384757,15.169012799999999,15.21136396,15.64902359,16.62867893,18.07925301,20.54746779,21.78579519,22.20589331,22.827696600000003,23.39449038,24.12806912,24.87662845,26.00162569,27.53783996,3.971093565,3.3130715680000002,2.81112991,2.405570771,2.1012990119999997,1.852240764,1.627661141,1.444047274,1.322466674,1.204136665,1.10743732,1.036667662,0.964565165,0.925733136,0.945176565,0.9516728940000001,0.97571022,1.023351211,1.100617825,1.229263677,1.291454621,1.304858227,1.339832216,1.3653022380000002,1.452131624,1.473030331,1.5372373959999999,1.6246414269999998,10.17425551,9.553636441,9.098151152,8.774445103,8.57446185,8.411395958,8.254297473,8.265050517,8.631420295,8.949110137,9.166405746,9.374043604,9.429663087,9.880114261000001,10.26252616,10.33718741,10.72616261,11.25912649,12.09167059,13.57609232,14.35695169,14.91727484,15.79707472,16.67849947,17.74226858,18.61620087,19.74908154,21.09880059
ARG,810.3893297999999,748.4772087,677.1343885,616.4763740000001,560.8743088,544.5028287,525.5709186,513.4469546,492.8594529,459.8359404,420.71515139999997,401.15710260000003,397.8949674,374.8529564,334.62533239999993,306.4750972,296.32804910000004,293.5555032,284.6520587,282.43874839999995,280.35656339999997,279.0999851,276.0413361,280.0013928999999,282.10036319999995,281.651776,272.3487756,267.139167,510.7314404,467.1998124,412.9575565,368.1597421,327.1356394,309.5884869,290.9256895,276.737706,258.9242374,235.94586569999996,210.8599643,196.8049145,188.97461869999998,171.0672597,144.4327243,124.16531940000002,112.9823005,106.24184479999998,97.65544320000001,91.78258947,85.68390007,82.40284698,78.80047026,78.70126678,77.96475014,75.59776304,71.26597035,68.63580741,629.6937561000001,605.1976325,566.7897379,531.2741777,495.6326791,492.2849839,490.1256665,500.4050466,511.9504445,520.6500242,508.21098739999996,520.7243153,537.9338932,554.1291026,539.8492712999999,529.6770675,534.4859987,554.9309819,543.34355,555.2049279,560.5812219,557.7889466,555.7604482999999,562.3752932,556.2500209,560.1875351,550.9363494,541.1825861000001
ARM,157.3229063,152.3366772,151.88548569999998,138.7860458,125.73494070000001,109.19860859999999,90.81543602,77.15206943,63.42129362,51.20646857,41.10004636,32.73879362,24.37641542,18.96519968,14.88874581,11.58431355,8.656452371,6.942353628999999,5.793223902,5.180584916,4.615744238,4.514259395,4.052111911,3.835175225,3.5978806430000003,3.254407679,3.17256617,3.04552297,180.5010697,173.76506930000002,171.867894,155.7925634,139.68417480000002,119.77814240000001,98.38990253,82.55037625,66.98882746,53.44265248,42.50299735,33.39428183,25.04409859,19.67947121,15.6305945,12.29643819,9.295231907,7.495005967999999,6.29473376,5.701179517000001,5.188960221,5.018566168,4.687784965,4.647914442,4.599106137,4.392766526,4.431391864,4.379285417,98.23711049,91.48996665,88.50047483,80.73890111,72.6959372,63.06514839999999,53.34398235,45.36502121,38.39892618,33.20379047,28.56388828,24.77581756,21.07574824,18.71363934,17.39165234,16.55942329,16.03097189,14.76303757,14.539195300000001,14.18750098,13.922890099999998,13.77211169,13.19417882,12.97020721,12.8152166,13.01676709,13.32203089,12.66488451
ASM,0.974656073,0.9701035440000001,0.9585871709999999,0.9439572940000001,0.933266088,0.93070947,0.917494667,0.893947875,0.840752781,0.7729328609999999,0.73269467,0.719845165,0.7244090609999999,0.72399267,0.7363218970000001,0.753813858,0.768994801,0.752742102,0.7420641790000001,0.7423640990000001,0.725056422,0.720141659,0.7121770059999999,0.7032738279999999,0.7007584,0.7025673370000001,0.708271372,0.72005646,0.458042844,0.45102358,0.438983055,0.423644794,0.409611182,0.399921421,0.386860026,0.36486008200000003,0.3375886,0.305128117,0.28325875699999997,0.271603192,0.266531966,0.26005025,0.258441015,0.25945555800000003,0.25522016399999997,0.240689232,0.22236558899999997,0.21969348600000002,0.210866897,0.203734345,0.195675286,0.188623344,0.183978726,0.180664624,0.178690729,0.179205289,0.5283064270000001,0.529274349,0.5248837129999999,0.516709147,0.507613683,0.497565191,0.48543134200000004,0.45341661299999997,0.433779601,0.413918611,0.38823526700000005,0.369588355,0.354189852,0.337956042,0.324594149,0.311716107,0.306637805,0.296917752,0.283344766,0.282463698,0.277348439,0.278514092,0.279409284,0.285301009,0.28714005600000003,0.289161326,0.29052922600000003,0.293769123
