,pedmort_2016,pedmort_53mean,pedmort_3mean,Code,sanit_2015,sanit_21mean,sanit_3mean,maln_12mean,maln_3mean,maln_2016,nat_dis2017,nat_dis_23mean,nat_dis_3mean,homoc_2017,homoc_3mean,homoc_23mean,Country or region,Outcome,
0,6.79,20.64166667,7.316666667,AFG,31.9,24.26666667,31.13333333,32.11538462,27.46666667,30.3,0.068638743,0.220388662,0.116639824,10.67307599,12.02989835,13.54551222,Afghanistan,0,
2,0.88,3.666388889,0.94,ALB,93.2,84.00909091,92.66666667,8.761538462,5.566666667,5.5,0.004623365,0.007723148,0.004757824,2.488883494,2.50594952,5.820425711,Albania,0,
49,2.4,11.6362963,2.49,DZA,87.6,83.65454545,87.2,8.123076923,4.633333333,4.7,0,0.118403198,0.003670489,1.084100523,1.161439366,1.637976281,Algeria,,
1,8.11,19.50205882,8.903333333,AGO,51.6,33.35454545,50.26666667,52.43076923,27.53333333,23.9,0.005986734,0.010492686,0.033983131,3.154860847,3.316997575,4.819876085,Angola,,
5,1.04,3.361333333,1.143333333,ARG,96.4,91.47727273,95.8,4.315384615,3.5,3.8,0.00030136,0.005617387,0.002868905,6.175149041,6.342786615,5.880806089,Argentina,1,
6,1.26,4.465526316,1.4,ARM,89.5,89.435,89.5,10.79230769,4.4,4.3,0,0.002240959,0,3.691190976,3.739062587,4.703890764,Armenia,0,
8,0.35,1.239444444,0.383333333,AUS,100,100,100,2.5,2.5,2.5,0.007034475,0.006973842,0.003953456,1.367411759,1.36632573,1.67719955,Australia,1,
9,0.36,1.574814815,0.37,AUT,100,100,100,2.5,2.5,2.5,0,0.015212899,0.013703146,0.781109554,0.821320444,1.035359322,Austria,1,
10,2.3,7.55625,2.646666667,AZE,89.3,70.56111111,86.3,7.730769231,2.5,2.5,0,0.00451153,0,3.658228814,3.692061405,6.918057658,Azerbaijan,0,
17,0.73,4.551111111,0.76,BHR,99.2,99.12727273,99.2,,,,0,0,0,1.426544899,1.484841773,1.815308254,Bahrain,1,
15,3.24,15.40537037,3.643333333,BGD,60.6,45.84545455,58.66666667,17.33846154,16.36666667,15.2,0.018405907,0.529686813,0.015913423,1.569104678,1.619639094,2.289407558,Bangladesh,0,
20,0.37,1.300588235,0.41,BLR,94.3,94.8,94.36666667,2.776923077,2.5,2.5,0,0.001230062,0.000785695,6.829920612,7.044985142,11.56867098,Belarus,0,
12,0.38,1.391296296,0.4,BEL,99.5,99.5,99.5,2.5,2.5,2.5,0,0.001632481,0.000617709,1.339259807,1.395402125,1.944448119,Belgium,1,
21,1.42,4.778297872,1.563333333,BLZ,90.5,82.95,90.43333333,5.246153846,6.633333333,6.5,0,0.204807696,0,26.83939928,26.68303371,19.23371725,Belize,,
13,9.83,19.7587037,10.36333333,BEN,19.7,12.23181818,19,15.17692308,9.9,10.4,0,0.006753751,0,4.992135978,5.212003068,5.585928517,Benin,0,
208,,,,BMU,,,,,,,0,0.056415025,0,3.02942888,3.085218186,3.575666211,Bermuda,,
26,3.08,13.47511111,3.34,BTN,50.4,32.22727273,49.73333333,,,,0,0.262541791,0,1.006742785,1.052045918,1.531556041,Bhutan,0,
22,3.49,14.76148148,3.753333333,BOL,50.3,38.11818182,49.3,28.93076923,20.3,19.8,0,0.058894696,0.090600292,5.93121778,6.130053307,8.013152796,Bolivia,1,
19,0.57,1.349,0.603333333,BIH,94.8,94.89444444,94.8,3.284615385,2.5,2.5,0,0.001727817,0.025906841,2.435472575,2.432217249,3.561843642,Bosnia and Herzegovina,0,
27,3.76,8.566666667,4.07,BWA,63.4,51.53636364,63,31.56153846,25.73333333,28.5,0,0.010110238,0,7.976065042,8.272175227,6.782292833,Botswana,0,
23,1.48,7.986851852,1.606666667,BRA,82.8,74.46818182,82.13333333,5.238461538,2.5,2.5,0.001037699,0.025935111,0.007343918,30.13288927,30.5066937,30.20205375,Brazil,1,
16,0.75,2.191372549,0.833333333,BGR,86,85.65909091,86,5.715384615,3.833333333,3,0,0.002658161,0.002775716,2.526974231,2.48101248,3.992941332,Bulgaria,0,
14,8.12,22.65962963,8.85,BFA,19.7,12.19090909,19,23.63076923,20.43333333,21.3,0.001098282,0.003124649,0.004221188,10.28283988,10.38633362,10.81699033,Burkina Faso,0,
25,1.05,1.2509375,1.05,BRN,,,,2.769230769,2.666666667,2.6,0,0,0.056668708,1.478428231,1.455314871,1.464811117,Burundi,0,
90,2.92,11.92589744,3.206666667,KHM,42.4,17.48636364,39,21,18.76666667,18.5,0,0.064142532,0.01531663,2.3823511,2.460133626,3.047079688,Cambodia,0,
34,8.4,17.1437037,9.023333333,CMR,45.8,42.35454545,45.4,18.83846154,6.8,7.3,0.001573933,0.003208406,0.000672254,2.622226498,2.732453966,3.54484401,Cameroon,0,
29,0.51,1.312037037,0.53,CAN,99.8,99.8,99.8,2.5,2.5,2.5,0.001432289,0.006498611,0,1.512903578,1.597860406,1.646554935,Canada,1,
28,12.15,19.21944444,13,CAF,21.8,17.45909091,21.6,37.78461538,54.13333333,61.8,0,0.001473701,0.000517211,7.696473114,19.35571692,8.14844262,Central African Republic,0,
167,12.32,20.34190476,13.08,TCD,12.1,9.813636364,12,39.63076923,37.5,39.7,0,0.008501461,0,5.757251704,5.859391376,6.316595693,Chad,0,
31,0.74,4.33537037,0.79,CHL,99.1,91.81363636,98.93333333,4.092307692,3.533333333,3.3,0.024979444,0.044623972,0.07480316,4.45998689,4.554743624,5.220193627,Chile,1,
32,0.93,5.206888889,1.08,CHN,76.5,59.59090909,74.23333333,14,9.2,8.7,0.00550254,0.064674011,0.010361383,1.029081652,1.073420209,2.356098378,China,0,
37,1.47,5.582222222,1.57,COL,81.1,74.70454545,80.63333333,9.792307692,7.966666667,6.5,0.149722106,0.101824961,0.049176741,29.74597995,29.13659776,64.10727632,Colombia,1,
38,6.9,13.48840909,7.326666667,COM,35.8,25.56363636,35,,,,0,0.006633767,0,7.621539278,7.685173294,8.088754642,Comoros,0,
36,4.75,11.17314815,5.133333333,COG,15,13.32,14.76666667,38.52307692,38.2,37.5,0,0.003087234,0,5.150170884,5.867388067,6.562936081,Congo (Brazzaville),0,
40,0.9,2.923265306,0.936666667,CRI,94.5,91.48181818,94.43333333,5.338461538,5.266666667,4.4,0.080723789,0.084233114,0.014815414,10.40366806,10.30377466,7.105393491,Costa Rica,1,
73,0.46,1.09030303,0.48,HRV,97,97.24545455,97.1,4.030769231,2.5,2.5,0,0.000808845,0.001917822,1.116576346,1.16910276,2.545186773,Croatia,1,
42,0.27,0.936857143,0.29,CYP,100,100,100,4.646153846,4.466666667,4.6,0,0.003243749,0,1.612950273,1.635085128,2.156269106,Cyprus,1,
43,0.33,0.82969697,0.313333333,CZE,99.1,99.1,99.1,2.5,2.5,2.5,0,0.003079178,0,1.143285391,1.178172635,1.9557889,Czech Republic,1,
47,0.43,1.065555556,0.423333333,DNK,99.6,99.6,99.6,2.5,2.5,2.5,0,0.000948344,0,0.807711076,0.776730455,1.357600745,Denmark,1,
48,2.99,7.773888889,3.156666667,DOM,84,77.74545455,83.26666667,22.19230769,11.9,10.4,0,0.110379231,0.009021413,22.45808761,22.89291517,15.40049324,Dominican Republic,1,
50,1.45,7.783148148,1.513333333,ECU,84.7,69.9,83.76666667,15.12307692,8.133333333,7.8,0,0.089508509,0.286585054,13.87848698,13.75955331,18.80431206,Ecuador,1,
51,2.21,13.54777778,2.376666667,EGY,94.7,84.81363636,94.7,4.930769231,4.466666667,4.8,0,0.014993604,0.004928419,0.667825054,0.694132229,0.582423179,Egypt,0,
155,1.45,8.672037037,1.556666667,SLV,75,62.21818182,73.4,10.86923077,11.36666667,10.3,0,0.253760872,0.01669508,56.69019568,91.79840795,59.61678544,El Salvador,1,
54,0.27,1.308235294,0.31,EST,97.2,97,97.2,3.946153846,2.9,2.8,0,0.001220643,0,4.503307505,4.575063033,13.229554,Estonia,1,
55,5.85,18.42604167,6.43,ETH,28,10.33181818,25.53333333,39.26153846,24.8,21.4,0.021430207,0.010219997,0.007850225,6.777949955,7.21007464,11.24644679,Ethiopia,0,
56,0.23,0.957777778,0.24,FIN,97.6,97.40454545,97.6,2.5,2.5,2.5,0,0.00133957,0.000644931,1.581319771,1.582477644,2.735892371,Finland,1,
58,0.42,1.158888889,0.416666667,FRA,98.7,98.7,98.7,2.5,2.5,2.5,0.000172732,0.007625177,0.00250696,0.829408579,0.863018012,1.293318444,France,1,
60,4.83,8.758333333,5.24,GAB,41.9,39.41666667,41.6,10.86923077,8.966666667,9.4,0,0.000337618,0,4.757253287,4.958642648,5.584905014,Gabon,0,
65,6.36,20.14962963,6.796666667,GMB,58.9,59.595,58.76666667,12.39230769,9.8,9.6,0,0.026941367,0,1.241879902,1.270478115,1.349112173,Gambia,0,
62,1.08,4.100769231,1.21,GEO,86.3,94.59545455,87.5,8.776923077,7.5,7.4,0,0.025309972,0.008062276,3.837343165,3.681417036,4.339146372,Georgia,0,
